org_name,count
"Planned Parenthood of Santa Barbara, Ventura and Planned Parenthood Orange and San Bernardino Counties",2
"The California Family Health Council, Planned Parenthood",2
CA Public Interest Research GroupCA State Assoc. of Counties,2
CA Public Interest Research GroupNone on file,2
California Public Health Association -North CALPIRG,2
National Audubon Society (TURN) CALPIRG,2
California Licensed Foresters AssociationNational Audubon Society,2
"California Building Industry Association, California Business Properties Association, California",2
"California Chamber of Commerce, California Manufacturers and Technology Association",2
Department of California Bingo Innovations Calexico Chamber of Commerce California Association of Nonprofits Knights of Columbus,2
"American Federation of State, County and Municipal Employees (AFSCME), AFL-CIO California Environmental Voters (formerly Clcv)",2
"American Federation of State, County and Municipal Employees (Prior Version) Aspiranet",2
"American Federation of State, County and Municipal Employees Alzheimer's Association",2
"American Federation of State, County and Municipal Employees Housing California",2
"American Federation of State, County and Municipal Employees, AFL-CIO Aspiranet",2
"American Federation of State, County and Municipal Employees, AFL-CIO Boeing Company",2
"American Federation of State, County and Municipal Employees, California Newspaper Publishers Association",2
"American Federation of State, County and Municipal EmployeesThe Legal Clinic of Santa Barbara",2
"American Federation of State, County, and Municipal Employees, Beverly Hills/Hollywood NAACP",2
"California Association of LAFCOs, American Federation of State, County and Municipal Employees",2
County and Municipal Employees (AFSCME) American Legion,2
Municipal Employees - United Nurses Associations of California- Union of Health Care Professionals Alameda Labor Council,2
"California American Federation of State, County, and Municipal Employees California National Organization for",2
AARP |City of La Mirada |City of Santa Fe,2
AFL-CIO AMVETS,2
AFL-CIO American Legion,2
AFL-CIO California State Council of Laborers,2
AFL-CIO California State Council of Laborers District Council16,2
AFL-CIO California Teachers Association LGBTQ+ Inclusivity,2
AFL-CIO Capitol Resource Family Impact,2
AFL-CIO Construction Employers' Association District Council 16,2
AFL-CIO International Brotherhood of Boilermakers,2
AFL-CIO International Union of Operating Engineers,2
AFL-CIO Laborers' International Union of North America,2
AFL-CIO National Association of Social Workers,2
AFL-CIO Northern California District Council,2
AFL-CIO Peace Officers Research Association of California,2
AFL-CIO SMART-Transportation Division,2
AFL-CIO Sheet Metal,2
Adelphia |City of La Palma |Springs,2
Alameda Corridor-East Construction |Gateway Chamber Alliance,2
Area 4 Board/Office of the State Council on Developmental Disabilities,2
Artelias S. Guyton & |City of La Verne |City of Santa Monica,2
Associates |City of Lafayette |City of Santa Rosa,2
Association of Mexican American Educators/Latino Educators Association,2
Buddiga Family Allergy | Asthma | Skin | Immunology,2
CA Resource Recovery Association |Planning and Conservation League,2
"California Air Pollution Control |Mayor, Curt Pringle",2
California Farm Bureau Federation |North Valley Coalition,2
California Fire Chiefs Association/Fire Districts Association of California,2
California Interfaith Power & Light |San Francisco Board of Supervisors,2
California League of Conservation |Natural Resources Defense Council,2
California Pharmacists Association/ California Society for Health System,2
California Pharmacists Association/ California Society of Health-System,2
California Pharmacists Association/California Society of Health-System,2
"California Professional Firefighters , Peace Officers' Research Association of California , California State Sheriffs' Association, California State Firefighters Association, California Police Chiefs Association, and Los Angeles Police Protective League, California Association of Highway Patrolmen",2
California Retailers Association |SolarCity,2
"California Rifle and Pistol Association, California Sportsman's Lobby, California Waterfowl Association, National Shooting Sports Foundation, Outdoor Sportsmen's Coalition of California, Safari Club International, Safari Club International Foundation",2
California Solar Energy Industries |Solar World California,2
"California Special Districts Association, Alameda County Mosquito Abatement District, Association of California Health Care Districts, Association of California Water Agencies, Beach Cities Health District, California Municipal Utilities Association, Castro Valley Sanitary District, Central Contra Costa Sanitary District, East Orange County Water District, Eastern Municipal Water District, Fresno Metropolitan Flood Control District, Fresno Mosquito and Vector Control District, Gold Mountain Community Services District, Goleta West Sanitary District, Indian Valley Community Services District, Kern County Cemetery District No. 1, Midpeninsula Regional Open Space District, River Pines Public Utility District, San Joaquin County Mosquito and Vector Control District, Santa Margarita Water District, Santa Ynez Community Services District, Stockton East Water District Board of Directors, Tahoe City Public Utility District, Three Valleys Municipal Water District, Tulare Mosquito Abatement District, United Water Conservation District",2
City of Berkeley City of Cupertino,2
City of City of Rohnert Park,2
City of City of Turlock,2
City of Los Angeles County Sanitation Districts City of Lodi,2
City of Vernon City of Whittier,2
Committee of Interns and Residents/Service Employees International Union,2
Communications |City of La Quinta |City of Santa Maria,2
Community College Association/California Teachers Association,2
County School Facilities Consortium |Tim Lewis Communities,2
County of County of San Bernardino,2
County of County of San Mateo,2
County of County of Yolo,2
County of Santa Clara Health Department (cont'd) County of San Luis Obispo Health Agency,2
"Department of California Veterans Action Network, Roseville Fleet Reserve Association, West Coast Region California Association of County Veterans Service Officers, Inc. Agency on Aging, Yreka, California Council on Aging, City of Huntington Beach Veterans Advisory Council, County of Orange",2
District Council of Iron Workers/California Iron Worker Employer Council,2
"Drug Policy Alliance, Immigrant Legal Resource Center, PICO, SEIU, Los Angeles Regional Reentry Partnership, Vera Institute of Justice",2
East Bay Municipal Utility District |Union of Concerned Scientists,2
"Economic Security Project Action , End Child Poverty in CA/The GRACE Institute , California Alternative Payment Program Association, Child Action Inc, Friends Committee on Legislation of California, Golden State Opportunity, John Burton Advocates for Youth, National Association of Social Workers, National Foster Youth Institute, South Bay Community Services, The Daughters of Charity, The Children's Movement of Fresno",2
Grade(s) |Content Tested,2
Incest |(a),2
Insurance Commissioner Lara/ California Department of Insurance,2
International Union of Operating |Southern California Edison,2
Kings River Conservation District / Kings River Water Association,2
LA County Solid Waste Management |Inc,2
Offense |§ 44011,2
SAP Center at San Jose | San Jose Sharks,2
Sharsheret | the Jewish Breast & Ovarian Cancer Community,2
"Sheriff's Department County of Mendocino, Department of Public Health County of Mendocino, Office of the Sheriff-Coroner County of Yuba, Health and Human Services Department",2
"Sodomy |(a), (g)",2
Sonoma Connect|sonoma Unidos,2
ACLU of /Northern California/Southern California/San Diego & Imperial Counties,2
CIGNA and UnitedHealthcare,2
"Chambers of Commerce: Black Chamber of Orange County, California Asian Pacific, California Black, California, California Hispanic, Carmel Valley, Chino Valley, Fontana, Fresno Metro Black, Glendale, Greater Coachella Valley, Greater Los Angeles African American, Greater Riverside, Hesperia, Hollywood, Los Angeles Latino, Murrieta/Wildomar, Orange County Hispanic, Pacific Grove, Pasadena, Rancho Cucamonga, Redlands, Sacramento Asian Pacific, Sacramento Black, Sacramento Hispanic, Slavic-American, Upland, and Victor Valley",2
"Chambers of Commerce: Brea, Camarillo, El Centro, Fullerton, Goleta, Greater Conejo Valley, Irwindale, Irvine, Long Beach, Oxnard, Palm Desert, Rancho, Redondo, San Gabriel Valley Regional, and Simi Valley",2
Chambers of Commerce: California Chamber of Commerce,2
Embarcadero Coalition of San Diego Environmental Center of San Diego Planning and Conservation League,2
"Giffords Law Center, Youth ALIVE",2
AFL-CIO Association for Los Angeles Deputy Sheriffs (ALADS) Los Angeles Probation Officers' Union,1
AFL-CIO Association of Los Angeles Deputy Sheriffs Los Angeles Probation Officers' Union,1
"AFSCME, Planning and Conservation League, Sierra Club California",1
"Administrators, Sierra Club of California",1
"Advanced Medical Technology Association, African American Farmers of California, Airlines for America, American Pistachio Growers, Association of California Life and Health Insurance Companies, Bay Area Council, Biocom, Building Owners and Managers Association of California, California Agricultural Aircraft Association, California Bankers Association, California Business Properties Association, California Business Roundtable, California Chamber of Commerce, California Cotton Ginners and Growers Association, California Farm Bureau Federation, California Forestry Association, California Hotel & Lodging Association, California Independent Petroleum Association, California League of Food Producers, California Life Sciences Association, California Manufacturers & Technology Association, California Railroads, California Taxpayers Association, California Trucking Association, Camarillo Chamber of Commerce, Chambers of Commerce Alliance of Ventura & Santa Barbara Counties, CompTIA, Contra Costa County Taxpayers Association, Council on State Taxation, Family Business Association of California, Farwest Equipment Dealers Association, International Council of Shopping Centers, Kern County Taxpayers Association, Maersk Inc,.NAIOP of California, National Federation of Independent Business, Nisei Farmers League, North Orange County Chamber, Orange County Business Council, Orange County Taxpayers Association, Oxnard Chamber of Commerce, Plant California Alliance Qualcomm, San Gabriel Valley Economic Partnership, Santa Maria Valley Chamber of Commerce, Silicon Valley Leadership Group, Solano County Taxpayers Association, Sutter County Taxpayers Association, TechNet, Valley Industry and Commerce Association, West Coast Lumber & Building Material Association, Western Agricultural Processors Association, Western Growers Association, Western Manufactured Housing Communities Association, Western Plant Health Association, Western States Petroleum Association, Wine Institute",1
"Agencies, Santa Clara Valley Water District, Sierra Club",1
"Agricultural Council of California, Auto Care Association, Brea Chamber of Commerce, California Business Properties Association, California Chamber of Commerce, California Construction and Industrial Materials Association, California Farm Bureau Federation, California Fuels and Convenience Alliance, California League of Food Producers, Camarillo Chamber of Commerce, CAWA, Greater Conejo Valley Chamber of Commerce, Murieta Wildomar Chamber of Commerce, National Federation of Independent Business, Orange County Business Council, Oxnard Chamber of Commerce, San Gabriel Valley Economic Parnership, Santa Maria Valley Chamber of Commerce, Southwest California Legislative Council, Torrance Area Chamber of Commerce, Tulare Chamber of Commerce, Western Independent Refiners Association, Western States Petroleum Association",1
"American Federation of State, County and Municipal Employees, Sierra Club",1
American Lung Association Sierra Club,1
"American Lung Association, Sierra Club California",1
"Associated General Contractors of California, California Bankers Association, California Chamber of Commerce, California Retailers Association, California Society of CPAs, California Taxpayers Association, Cellular Telecommunications and Internet Association, Civil Justice Association of California, Computing Technology Industry Association, Council on State Taxation, Family Business Association of California, Motion Picture Association of America, National Federation of Independent Business, Tracfone Wireless",1
"Association, Bay Area Air Quality Management Districts, South Coast Air Quality Management District, Sierra Club of",1
"Association, Sierra Club of California",1
"Authority, San Francisco Bay Area Rapid Transit District, Sierra Club-California",1
"Avondale and Glen Elder Neighborhood Association (Sacramento), Defenders of Wildlife, Sierra Club California",1
"BOE Chair George Runner, BOE Member Diane Harkey, California Business Roundtable, California Small Business Association, California Society of Enrolled Agents, National Federation of Independent Business California, San Francisco Chamber of Commerce",1
"BOE Member George Runner, State Board of Equalization, California Chamber of Commerce, California Society of Enrolled Agents, California Taxpayers Association",1
"Bay Area Council, California Association of County Treasurer-Tax Collectors, California Bankers Association, California Business Roundtable, California Chamber of Commerce, California Community Banking Network, California Credit Union League, California Taxpayers Association, Howard Jarvis Taxpayers Association, Los Angeles County Business Federation, San Francisco Committee on Jobs, Silicon Valley Leadership Group, Southwest California Legislative Counsel",1
Bluewater Network Sierra Club,1
Board of Supervisors El Monte/South El Monte (EMSEM) Chamber of Commerce Gateway Cities Council of Governments Industrial Council Chamber of Commerce League of California Cities,1
"California Apartment Association, California Association of Realtors, California Chamber of Commerce, California Manufacturers and Technology Association, California Taxpayers Association, Howard Jarvis Taxpayers Association, KernTax, Western Manufactured Housing Communities Association",1
"California Apartment Association, California Association of Winegrape Growers, California Beer and Beverage Distributors, California Business Properties Association, California Chamber of Commerce, California Retailers Association, California Society of Enrolled Agents, California Tax Reform Association, California Taxpayers Association, Camarillo Chamber of Commerce, CompTIA, Franchise Tax Board, Greater Irvine Chamber of Commerce, North Orange County Chamber of Commerce, Orange County Business Council, San Gabriel Valley Economic Partnership, Spidell Publishing, Inc",1
"California Assessors Association, California Apartment Association, California Chamber of Commerce, Howard Jarvis Taxpayers Association, Gofourth Family",1
"California Association of Wine Grape Growers, California Taxpayers Association, California Business Properties Association, California Society of Enrolled Agents, California Trucking Association, Family Business Association of California, Family Business Association of California, Greater Irvine Chamber of Commerce, Kern County Taxpayers Association, Orange County Taxpayers Association, Ryan Inc., San Gabriel Valley Economic Partnership, Sutter County Taxpayers Association",1
"California Chamber of Commerce, Irvine Chamber of Commerce",1
"California Chapter of the American Planning Association, Sierra Club California",1
"California Communities Against Toxics, Sierra Club California",1
"California Communities Against Toxins, California Environmental Rights Alliance, Sierra Club California",1
"California Immigrant Policy Center , ACLU Center for Advocacy & Policy - California, Asian Americans Advancing Justice, Brightline Defense, California Asian Chamber of Commerce, California Landscape Contractors Association, California Reinvestment Coalition, California Rural Legal Assistance Foundation, Coalition for Humane Immigrant Rights, East Bay Community Law Center, Educators for Fair Consideration, Lawyers' Committee for Civil Rights of the San Francisco Bay Area, Mission Asset Fund, Public Counsel, Sustainable Economies Law Center",1
"California League of Conservation Voters, Sierra Club",1
California Public Interest Research Group (CALPIRG) Sierra Club,1
California Tire Recyclers Sierra Club,1
"California Water Association, Sierra Club, Clean Power Campaign",1
"Californians Against Waste, Planning and Conservation League, Sierra Club California, StopWaste.Org (Alameda County Waste Management)",1
"Californians Against Waste, Sierra Club California",1
"Californians Against Waste, Sierra Club, and Planning and Conservation League",1
"Center, Sierra Club California",1
"Central Basin Municipal Water District, Sierra Club, Union de",1
