org_name,count
Los Angeles City Councilmember Paul Koretz,7
Los Angeles Councilmember Bernard Parks,7
Los Angeles County Supervisor Mark Ridley-Thomas,7
"Lucas Ramirez - Councilmember, Mountain View",7
"Matthew Solomon, Councilmember - Emeryville",7
Orange County Supervisor Chris Norby,7
Private Citizens,7
Professor Marci Hamilton,7
Riverside County Supervisor Karen Spiegel,7
SAN FRANCISCO SUPERVISOR MALIA COHEN,7
Sacramento County Supervisor Sue Frost,7
San Diego County Supervisor Bill Horn,7
San Diego County Supervisor Joel Anderson's Office,7
San Jose City Councilmember Dave Cortese,7
San Mateo County Supervisor Rose Jacobs Gibson,7
Senator Pavley,7
Senator Tom Hayden,7
Senator Wright,7
Several Individual Physicians,7
Several Individual Veterinarians,7
Solano County Supervisor Monica Brown,7
"Supervisor Aaron Peskin, President, San Francisco Board of Supervisors",7
"Supervisor Keith Carson, Alameda County",7
"Thomas W. Wilson, Supervisor, Orange County",7
Ventura County Supervisor John K. Flynn,7
Anderson,7
Backes,7
Bradbury,7
Joe Mauney,7
Bob Barker,7
Rick Hiseley,7
Wesley Westmoreland,7
46 Constituents,6
"Antonio Villaraigosa, Mayor of Los Angeles",6
Betty Yee,6
"Bill Rosendahl, Councilmember",6
"Brad Sherman, Member of Congress",6
Brian Webster and Associates,6
Chief of Police (Acting) Howard Jordan,6
Chief of Police Anthony Batts,6
Chief of Police Edward Medrano,6
Chief of Police John Crombach,6
"Chief of Police Phillip Green, Cities of Corte Madera/Larkspur",6
Chief of Police Susan Jones,6
City of Long Beach Mayor Bob Foster,6
"City of San Jose, Councilmember Dev Davis",6
City of South San Francisco Council Member James Coleman,6
Congressman Jared Huffman,6
Congressman John Garamendi,6
Congresswoman Anna G. Eshoo,6
Congresswoman Zoe Lofgren,6
Councilmember Ash Kalra,6
Councilmember Christopher Ward,6
Councilmember Dan Kalb,6
Councilmember Ridley-Thomas,6
Councilmember Sean Elo-rivera,6
"Donald Rocha, San Jose City Councilmember",6
Doris Day,6
"Doug Haaland, Sr",6
Family of Tyler Hutchinson,6
Five Individual Letters,6
"Governor of Lousiana, Kathleen Blanco",6
"Greg Victoroff, Attorney",6
"HONORABLE DIANNE FEINSTEIN, UNITED STATES SENATOR",6
"Honorable Adam Schiff, Member of the United States Congress",6
Individual Classified Senates,6
Individual Letters (10),6
Individual Letters- 9,6
Individual Pharmacists,6
Individual Physical Therapists,6
Joan Irvine Smith,6
Joaquin,6
"Kevin McCarthy, Councilmember",6
Los Angeles City Councilmember Bill Rosendahl,6
Los Angeles Councilwoman Janice Hahn,6
Los Angeles County Supervisor Zev Yaroslavsky,6
Louis Gonzales,6
Mayor Jerry B. Edelen,6
Mayor Mark Lewis,6
Mayor Pro Tem,6
Mayor Pro Tempore Pedro Aceituno,6
"Michael Antonovich, Los Angeles County Supervisor",6
Oakland City Council Member Rebecca Kaplan,6
Orange County Supervisor Doug Chaffee,6
Priscilla Eiden,6
"Professor Bill Neill, Ret., San Diego",6
Professor of Law,6
Ross Valley School Board Trustee,6
Sacramento City Councilmember Steve Cohn,6
"San Diego Board of Supervisor, Nathan Fletcher",6
Senator George Runner,6
