org_name,count,in_crosswalk,match_type,canonical_name
California Restaurant Association,1870,yes,exact,National Restaurant Association
National Federation of Independent Business,1836,yes,exact,NATIONAL FEDERATION OF INDEPENDENT BUSINESS
Civil Justice Association of California,1821,yes,exact,CIVIL JUSTICE ASSOCIATION OF CALIFORNIA
Housing California,1815,yes,exact,HOUSING CALIFORNIA
American Civil Liberties Union of California,1811,yes,exact,American Civil Liberties Union
California Taxpayers Association,1793,yes,exact,California Taxpayers Association
California State Pipe Trades Council,1789,yes,exact,CALIFORNIA STATE PIPE TRADES COUNCIL
California Tax Reform Association,1742,yes,exact,CALIFORNIA TAX REFORM ASSOCIATION
Attorney General,1737,yes,exact,Attorney General
California Faculty Association,1737,yes,exact,CALIFORNIA FACULTY ASSOCIATION
Legal Services for Prisoners with Children,1735,yes,exact,LEGAL SERVICES FOR PRISONERS WITH CHILDREN
University of California,1735,yes,exact,University of California
California Primary Care Association,1715,yes,exact,CALIFORNIA PRIMARY CARE ASSOCIATION
Crime Victims United of California,1712,yes,normalized,Crime Victim's United
Western States Petroleum Association,1699,yes,exact,WESTERN STATES PETROLEUM ASSOCIATION
City of San Diego,1693,yes,exact,CITY OF SAN DIEGO
Bay Area Council,1692,yes,exact,BAY AREA COUNCIL
California Academy of Family Physicians,1691,yes,exact,American Academy of Family Physicians
California Association of Highway Patrolmen,1688,yes,exact,CALIFORNIA ASSOCIATION OF HIGHWAY PATROLMEN
League of Women Voters of California,1687,yes,exact,League of Women Voters of California (LWV)
ACLU California Action,1656,yes,exact,American Civil Liberties Union
California Advocates for Nursing Home Reform,1645,yes,exact,California Advocates for Nursing Home Reform
County of Santa Clara,1643,yes,exact,STATE OF CALIFORNIA
Public Counsel,1623,yes,exact,Public Counsel
Personal Insurance Federation of California,1600,yes,exact,Personal Insurance Federation of California (PIFC)
Children's Advocacy Institute,1599,yes,exact,Children's Advocacy Institute
Environmental Working Group,1599,yes,exact,ENVIRONMENTAL WORKING GROUP
California State Employees Association,1585,yes,exact,California State Employees Association
County of San Diego,1579,yes,exact,STATE OF CALIFORNIA
California Dental Association,1576,yes,exact,California Dental Association
Western Growers Association,1565,yes,exact,WESTERN GROWERS ASSOCIATION
Association of Regional Center Agencies,1559,yes,exact,ASSOCIATION OF REGIONAL CENTER AGENCIES
AARP,1556,yes,exact,AARP (American Association of Retired Persons)
California Psychiatric Association,1556,yes,exact,AMERICAN PSYCHIATRIC ASSOCIATION
Los Angeles County Sheriff's Department,1546,yes,exact,Sheriff
Coalition for Clean Air,1542,yes,exact,COALITION FOR CLEAN AIR
Los Angeles Police Protective League,1542,yes,exact,LOS ANGELES POLICE PROTECTIVE LEAGUE
Association of California Insurance Companies,1539,yes,exact,ASSOCIATION OF CALIFORNIA INSURANCE COMPANIES
California Pan-Ethnic Health Network,1521,yes,exact,CALIFORNIA PAN-ETHNIC HEALTH NETWORK
California Correctional Peace Officers Association,1520,yes,exact,California Correctional Peace Officers Association
Association of California Life and Health Insurance Companies,1516,yes,exact,ASSOCIATION OF CALIFORNIA LIFE & HEALTH INSURANCE COMPANIES
California Employment Lawyers Association,1497,yes,normalized,CALIFORNIA EMPLOYMENT LAWYER'S ASSOCIATION
California Alliance of Child and Family Services,1482,yes,exact,California Alliance of Child and Family Services
SEIU California,1473,yes,exact,Service Employees International Union
Silicon Valley Leadership Group,1469,yes,exact,Silicon Valley Leadership Council
Secretary of State,1468,yes,exact,Secretary of State
California Healthcare Association,1460,yes,exact,California Healthcare Association
Agricultural Council of California,1458,yes,exact,Agricultural Council of California
California Conference Board of the Amalgamated Transit Union,1456,yes,normalized,Amalgamated Transit Union--California Conference Board
County Welfare Directors Association of California,1456,yes,exact,County Welfare Directors Association of California
Judicial Council of California,1443,yes,exact,JUDICIAL COUNCIL
California Trucking Association,1437,yes,exact,CALIFORNIA TRUCKING ASSOCIATION
California Senior Legislature,1422,yes,exact,CALIFORNIA SENIOR LEGISLATURE
Orange County Business Council,1418,yes,exact,ORANGE COUNTY BUSINESS COUNCIL
Judicial Council,1414,yes,exact,JUDICIAL COUNCIL
Association of California Healthcare Districts,1404,yes,exact,Association of California Healthcare Districts
Office of the Attorney General,1391,yes,exact,Attorney General
Department of Insurance,1390,yes,exact,California Insurance Commissioner / Department of Insurance
California Judges Association,1387,yes,exact,California Judges Association
Initiate Justice,1384,yes,exact,Initiate Justice
Union of Concerned Scientists,1383,yes,exact,Union of Concerned Scientists
State Building and Construction Trades Council,1382,yes,exact,North America's Building Trades Unions
City of Oakland,1373,yes,exact,STATE OF CALIFORNIA
Environmental Defense Fund,1373,yes,exact,Environment Defense Fund
Chief Probation Officers of California,1372,yes,exact,Chief Probation Officers of California (CPOC)
California State Commanders Veterans Council,1370,yes,exact,CALIFORNIA STATE COMMANDERS VETERANS COUNCIL
National Center for Youth Law,1368,yes,exact,NATIONAL CENTER FOR YOUTH LAW
California Association of Health Facilities,1366,yes,exact,California Association of Health Facilities
City of San Jose,1355,yes,exact,STATE OF CALIFORNIA
Los Angeles County Professional Peace Officers Association,1344,yes,exact,LOS ANGELES COUNTY PROFESSIONAL PEACE OFFICERS ASSOCIATION
California State University,1339,yes,exact,California State University
Drug Policy Alliance,1325,yes,exact,Drug Policy Alliance
AFSCME,1322,yes,exact,"American Federation of State, County and Municipal Employees (AFSCME)"
One individual,1315,yes,exact,ONE INDIVIDUAL
Southern California Edison,1310,yes,exact,SOUTHERN CALIFORNIA EDISON
"American Federation of State, County, and Municipal Employees",1304,yes,normalized,"American Federation of State, County and Municipal Employees (AFSCME)"
California State Council of Laborers,1279,yes,exact,CALIFORNIA STATE COUNCIL OF LABORERS
Santa Clara County Board of Supervisors,1269,yes,exact,STATE OF CALIFORNIA
California Commission on the Status of Women,1266,yes,exact,CALIFORNIA COMMISSION ON THE STATUS OF WOMEN
American Lung Association,1265,yes,exact,AMERICAN LUNG ASSOCIATION
Health Officers Association of California,1265,yes,exact,Health Officers Association of California
Los Angeles Area Chamber of Commerce,1264,yes,exact,UNITED STATES CHAMBER OF COMMERCE
California Manufacturers Association,1258,yes,exact,CALIFORNIA MANUFACTURERS & TECHNOLOGY ASSOCIATION
Wine Institute,1254,yes,exact,WINE INSTITUTE
Urban Counties Caucus,1236,yes,exact,URBAN COUNTIES OF CALIFORNIA
Kaiser Permanente,1212,yes,exact,KAISER PERMANENTE
County of Sacramento,1206,yes,exact,STATE OF CALIFORNIA
Equal Rights Advocates,1202,yes,exact,EQUAL RIGHTS ADVOCATES
Doris Tate Crime Victims Bureau,1201,yes,exact,Doris Tate Crime Victims Bureau
Southwest California Legislative Council,1191,yes,exact,Southwest California Legislative Council
Center for Biological Diversity,1188,yes,exact,CENTER FOR BIOLOGICAL DIVERSITY
California National Organization for Women,1184,yes,exact,NATIONAL ORGANIZATION FOR WOMEN
The Nature Conservancy,1184,yes,exact,NATURE CONSERVANCY
City of Sacramento,1174,yes,exact,STATE OF CALIFORNIA
None to date,1170,no,,
