norm,action,winner,winner_cluster,winner_size,loser,loser_cluster,loser_is_canonical,metadata_dropped
greater fresno area chamber of commerce,within-tree,GREATER FRESNO AREA CHAMBER OF COMMERCE,109883,1,Greater Fresno Area Chamber of Commerce,109883,False,False
sacramento asian chamber of commerce,within-tree,Sacramento Asian Chamber of Commerce,109883,1,Sacramento Asian Chamber of Commerce,109883,False,False
asian americans for civil rights and equality aacre,cross-tree,ASIAN AMERICANS FOR CIVIL RIGHTS AND EQUALITY ( AACRE),7857,1,Asian Americans for Civil Rights and Equality (AACRE),598,False,False
agency on aging advisory council,cross-tree,Agency on Aging Advisory Council,7251,1,Agency on Aging Advisory Council,2038,False,False
aids coordinators office department of disability city of los angeles,cross-tree,"AIDS Coordinator's Office, Department of Disability, City of Los Angeles",2227,1,"AIDS Coordinator's Office, Department of Disability, City of Los Angeles",28026,False,False
alameda county chiefs of police and sheriffs association sb46x,cross-tree,Alameda County Chiefs of Police and Sheriff's Association SB46X,95887,1,Alameda County Chiefs of Police and Sheriff's Association SB46X,2560,False,False
marin institute,cross-tree,Marin Institute,2862,1,MARIN INSTITUTE,66737,False,False
the california academy of family physicians,cross-tree-fold,THE CALIFORNIA ACADEMY OF FAMILY PHYSICIANS,4368,1,The California Academy of Family Physicians,104631,True,False
american academy of pediatrics aap,cross-tree,American Academy of Pediatrics (AAP),4379,1,American Academy of Pediatrics (AAP),4380,False,False
california state automobile association,cross-tree-fold,California State Automobile Association,4551,1,California State Automobile Association,21013,True,False
auto club of southern california writing in opposition to,cross-tree,"Auto Club of Southern California, writing in opposition to",4551,1,"Auto Club of Southern California, writing in opposition to",98917,False,False
american capital management corp,cross-tree,American Capital Management Corp,4653,1,American Capital Management Corp,4654,False,False
american college of obstetricians and gynecologists district ix,cross-tree,American College of Obstetricians and Gynecologists - District IX,4758,45,American College of Obstetricians and Gynecologists District IX,4744,False,False
california council of the blind,cross-tree-fold,California Council of the Blind,4826,8,California Council of The Blind,18362,True,False
california dental association,cross-tree-fold,California Dental Association,4846,13,California Dental Association,18483,True,False
california labor federation aflcio,cross-tree,California Labor Federation (AFL-CIO),4920,1,"California Labor Federation, AFL-CIO",15635,False,False
los angeles county probation department union local 685,cross-tree,"Los Angeles County Probation Department Union, Local 685",4925,1,Los Angeles County Probation Department Union Local 685,64815,False,False
los angeles county probation union afscme local 685,cross-tree,Los Angeles County Probation Union. AFSCME Local 685,4925,1,"Los Angeles County Probation Union, AFSCME, Local 685",64816,False,False
los angeles probation union afscme local 685,cross-tree,"Los Angeles Probation Union AFSCME, Local 685",4925,1,"Los Angeles Probation Union, AFSCME, Local 685",64816,False,False
los angeles county probation department union afscme local 685,cross-tree,"Los Angeles County Probation Department Union, AFSCME Local 685",4925,1,"Los Angeles County Probation Department Union, AFSCME, Local 685",64815,False,False
los angeles probation officers union,cross-tree-fold,Los Angeles Probation Officers' Union,4925,1,Los Angeles Probation Officers Union,65086,True,False
los angeles county probation union,cross-tree-fold,Los Angeles County Probation Union,4925,1,Los Angeles County Probation Union,64816,True,False
los angeles county probation department union local,cross-tree-fold,Los Angeles County Probation Department Union Local,4925,1,Los Angeles County Probation Department Union Local,64815,True,False
california federation of teachers cft,cross-tree-fold,California Federation of Teachers (CFT),4926,1,California Federation of Teachers (CFT),18873,True,False
american stroke association,cross-tree-fold,American Stroke Association,5008,1,American Stroke Association,5585,True,False
california society of addiction medicine csam cosponsor of,cross-tree,"California Society of Addiction Medicine (CSAM), cosponsor of",5496,1,"California Society of Addiction Medicine (CSAM), cosponsor of",20880,False,False
california speechlanguagehearing association,cross-tree,California Speech-language-hearing Association,5564,1,California Speech-Language-Hearing Association,20956,False,False
american subcontractor assn of california,cross-tree,American Subcontractor Assn. of California,5589,1,American Subcontractor Assn. of California,104416,False,False
cosponsor amvets department of california,cross-tree,Co-sponsor AMVETS Department of California,5639,1,Co-sponsor AMVETS Department of California,5873,False,False
angelica salas executive directoru coalition for humane,cross-tree,"Angelica Salas, Executive Directoru, Coalition for Humane",29643,1,"Angelica Salas, Executive Directoru, Coalition for Humane",6148,False,False
annmarie hogan city auditor city of berkeley,cross-tree,"Ann-Marie Hogan, City Auditor, City of Berkeley",6452,1,"Ann-Marie Hogan, City Auditor, City of Berkeley",6453,False,False
annemarie hogan city auditor city of berkeley,cross-tree,"Anne-Marie Hogan, City Auditor, City of Berkeley",6452,1,"Anne-Marie Hogan, City Auditor, City of Berkeley",6469,False,False
antelope valley hospital,cross-tree,Antelope Valley Hospital,6517,1,Antelope Valley Hospital,6569,False,False
council president anthony young city of san diego,cross-tree,"Council President Anthony Young, City of San Diego",28319,1,"Council President Anthony Young, City of San Diego",6620,False,False
antidefamation league,cross-tree,ANTI-DEFAMATION LEAGUE,6628,1,Anti-Defamation League,6627,False,False
chief of police jim hyde city of antioch,cross-tree,"Chief of Police Jim Hyde, City of Antioch",82397,1,"Chief of Police Jim Hyde, City of Antioch",6668,False,False
asian american certified public accountants and attorneys san,cross-tree,Asian American Certified Public Accountants and Attorneys San,7817,1,Asian American Certified Public Accountants and Attorneys San,7818,False,False
faculty association of california community colleges faccc the sponsor of this legislation,cross-tree,"Faculty Association of California Community Colleges (FACCC), the sponsor of this legislation",8662,1,"Faculty Association of California Community Colleges (FACCC), the sponsor of this legislation",42887,False,False
the association of california healthcare districts achd,cross-tree-fold,The Association of California Healthcare Districts (ACHD),8674,1,The Association of California Healthcare Districts (ACHD),104492,True,False
assoc of california hospital districts,cross-tree,Assoc. of California Hospital Districts,8674,1,Assoc. of California Hospital Districts,17042,False,False
the association of california insurance companies acic,cross-tree-fold,THE ASSOCIATION OF CALIFORNIA INSURANCE COMPANIES (ACIC),8678,1,The Association of California Insurance Companies (ACIC),104493,True,False
california association of catholic hospitals,cross-tree,California Association of Catholic Hospitals,16911,13,California Association of Catholic Hospitals,8718,False,False
california association of legal document assistants,cross-tree,CALIFORNIA ASSOCIATION OF LEGAL DOCUMENT ASSISTANTS,17083,5,California Association of Legal Document Assistants,8910,False,False
california association of nonprofits,cross-tree,CALIFORNIA ASSOCIATION OF NONPROFITS,17123,20,California Association of Nonprofits,8950,False,False
the california association of private postsecondary schools capps,cross-tree,THE CALIFORNIA ASSOCIATION OF PRIVATE POSTSECONDARY SCHOOLS (CAPPS),17155,1,The California Association of Private Postsecondary Schools (CAPPS) -,8981,False,False
california association of rehabilitation professionals,cross-tree,California Association of Rehabilitation Professionals,17209,1,California Association of Rehabilitation Professionals,9016,False,False
astrotech space operations,cross-tree,Astrotech Space Operations,9168,2,Astrotech Space Operations,9167,False,False
attorneys for criminal justice organization,cross-tree,Attorneys for Criminal Justice Organization,15545,1,Attorneys for Criminal Justice Organization,9363,False,False
mendocino county auditorcontroller,cross-tree,Mendocino County Auditor-Controller,100917,3,Mendocino County Auditor-Controller,9437,False,False
automotive service councils of california,cross-tree,Automotive Service Councils Of California,9684,5,Automotive Service Councils of California,9685,False,False
family law section,cross-tree,Family Law Section,10428,9,Family Law Section,19596,False,False
business law section,cross-tree,Business Law Section,10428,3,Business Law Section,19596,False,False
office of governmental affairs,cross-tree-fold,Office of Governmental Affairs,10428,2,Office of Governmental Affairs,76585,True,False
bay 101 club,cross-tree-fold,Bay 101 Club,10742,1,Bay 101 Club,10745,True,False
san francisco baykeeper,cross-tree-fold,San Francisco Baykeeper,11139,1,San Francisco Baykeeper,91421,True,False
being alive los angeles inc,cross-tree,"Being Alive Los Angeles, Inc",11516,1,"Being Alive Los Angeles, Inc.",11512,False,False
beverly hills city,cross-tree,Beverly Hills City,100917,1,Beverly Hills City,12202,False,False
board of governors of the california community colleges,cross-tree,BOARD OF GOVERNORS OF THE CALIFORNIA COMMUNITY COLLEGES,18149,1,Board of Governors of the California Community Colleges,13326,False,False
board of supervisors city of los angeles,cross-tree,"Board of Supervisors, City of Los Angeles",13366,1,"Board of Supervisors, City of Los Angeles",64626,False,False
el dorado county board of supervisors,cross-tree,El Dorado County Board of Supervisors,100917,6,El Dorado County Board of Supervisors,13370,False,False
board of supervisors president keith carson county of alameda,cross-tree,"Board of Supervisors President Keith Carson, County of Alameda",100917,1,"Board of Supervisors President Keith Carson, County of Alameda",13408,False,False
fresno county board of supervisors stan oken sharon levy deran koligian,cross-tree,"Fresno County Board of Supervisors: Stan Oken, Sharon Levy, Deran Koligian",100917,1,"Fresno County Board of Supervisors: Stan Oken, Sharon Levy, Deran Koligian",13423,False,False
boards of supervisors of mendocino county,cross-tree,Boards of Supervisors of:: Mendocino County,100917,1,Boards of Supervisors of:: Mendocino County,13424,False,False
brawley chamber of commerce,cross-tree-fold,BRAWLEY CHAMBER OF COMMERCE,109883,4,Brawley Chamber of Commerce,14139,True,False
bruce bolinger county clerk county of nevada,cross-tree,"Bruce Bolinger, County Clerk, County of Nevada",100917,1,"Bruce Bolinger, County Clerk, County of Nevada",14670,False,False
builders exchanges legislative network,cross-tree,Builders Exchanges Legislative Network,14890,1,Builders Exchanges Legislative Network,14889,False,False
building owners and managers association 738,cross-tree,Building Owners and Managers Association 738,14966,1,Building Owners and Managers Association 738,14965,False,False
john burton foundation for children without homes,cross-tree,JOHN BURTON FOUNDATION FOR CHILDREN WITHOUT HOMES,58145,1,John Burton Foundation for Children Without Homes,15182,False,False
business law section of the state bar of california,cross-tree-fold,Business Law Section of the State Bar of California,19596,1,Business Law Section of the State Bar of California,15243,True,False
california business properties association,cross-tree-fold,California Business Properties Association,15258,1,California Business Properties Association,17533,True,False
california business roundtable,cross-tree-fold,California Business Roundtable,15261,1,California Business Roundtable,17537,True,False
california attorneys for criminal justice,cross-tree,CALIFORNIA ATTORNEY'S FOR CRIMINAL JUSTICE,17325,28,California Attorneys for Criminal Justice,15545,False,False
california district attorneys association,cross-tree,CALIFORNIA DISTRICT ATTORNEY'S ASSOCIATION,18580,32,California District Attorneys Association,15602,False,False
california school employees association aflcio,cross-tree,"California School Employees Association, AFL-CIO",20726,1,"California School Employees Association, AFL-CIO",15678,False,False
state association of county auditors,cross-tree,State Association of County Auditors,15693,1,State Association of County Auditors,34020,False,False
colusa indian community,cross-tree,Colusa Indian community,15824,1,Colusa Indian community,30618,False,False
managed risk medical insurance board,cross-tree,MANAGED RISK MEDICAL INSURANCE BOARD,66287,5,Managed Risk Medical Insurance Board,15950,False,False
calcima,cross-tree-fold,CalCIMA,18267,1,Calcima,16155,True,False
calif allied for patient protection,cross-tree,Calif. Allied for Patient Protection,21856,1,Calif. Allied for Patient Protection,16260,False,False
ca assoc of realtors,cross-tree,CA ASSOC. OF REALTORS,17316,1,CA Assoc. of Realtors,16273,False,False
california forestry association,cross-tree,CALIFORNIA FORESTRY ASSOCIATION,18993,11,California Forestry Association,16329,False,False
ca police chiefs assoc inc ca,cross-tree,"CA Police Chiefs Assoc., Inc. CA",20287,1,"CA Police Chiefs Assoc., Inc. CA",16356,False,False
california police chiefs assoc none,cross-tree,California Police Chiefs Assoc. None,20287,1,California Police Chiefs Assoc. None,16356,False,False
california rifle and pistol association to use of dros funds,cross-tree,California Rifle and Pistol Association (to use of DROS funds),72980,1,California Rifle and Pistol Association (to use of DROS funds),16360,False,False
california school employees association csea in support,cross-tree,"California School Employees Association (CSEA), in support",20726,1,"California School Employees Association (CSEA), in support",16363,False,False
cosponsor california state employees association csea,cross-tree,Co-sponsor California State Employees Association (CSEA),21069,1,Co-sponsor California State Employees Association (CSEA),16372,False,False
abx1 49 california state horsemens association,cross-tree,ABX1 49 California State Horsemen's Association,21103,1,ABX1 49 California State Horsemen's Association,16375,False,False
california state association of electrical workers,cross-tree,California State Association of Electrical Workers,56231,19,California State Association of Electrical Workers,16397,False,False
california abortion reproductive rights action league network,cross-tree,California Abortion & Reproductive Rights Action League Network,71830,1,California Abortion & Reproductive Rights Action League Network,16423,False,False
california academy of preventative medicine,cross-tree-fold,California Academy of Preventative Medicine,16446,1,California Academy of Preventative Medicine,16445,True,False
california advocates for nursing home reform,cross-tree,California Advocates for Nursing Home Reform,16515,19,California Advocates for Nursing Home Reform,16513,False,False
california air pollution control officers association,cross-tree-fold,CALIFORNIA AIR POLLUTION CONTROL OFFICER'S ASSOCIATION,16578,1,California Air Pollution Control Officers Association,16580,True,False
california american water opposeto include investor owned utilities,cross-tree,California American Water - Opposeto include: investor owned utilities,16689,1,California American Water - Opposeto include: investor owned utilities,16690,False,False
california association for health services at home cahsah support if,cross-tree,California Association for Health Services at Home (CAHSAH) - Support if,16814,1,California Association for Health Services at Home (CAHSAH) - Support if,52844,False,False
california charter schools association advocates,cross-tree-fold,CALIFORNIA CHARTER SCHOOLS ASSOCIATION ADVOCATES,16915,1,California Charter Schools Association Advocates,17779,True,False
california association of clerks,cross-tree-fold,California Association of Clerks,16923,1,California Association of Clerks,16921,True,False
california association of county treasurers,cross-tree-fold,California Association of County Treasurers,16964,1,California Association of County Treasurers,16963,True,False
california association of hmos inc,cross-tree,"California Association of HMO's, Inc",17027,1,"California Association of HMOs, Inc",17038,False,False
the california association of health plans cahp,cross-tree-fold,THE CALIFORNIA ASSOCIATION OF HEALTH PLANS (CAHP),17029,1,The California Association of Health Plans (CAHP),104642,True,False
california housing authorities association,cross-tree-fold,California Housing Authorities Association,17046,1,California Housing Authorities Association,19302,True,False
california state association of psychiatrists,cross-tree,CALIFORNIA STATE ASSOCIATION OF PSYCHIATRISTS,20999,9,California State Association of Psychiatrists,17172,False,False
ca association of public administrators public guardians and public conservators,cross-tree,"CA Association of Public Administrators, Public Guardians, and Public Conservators",17175,1,"CA Association of Public Administrators, Public Guardians, and Public Conservators",21002,False,False
ca state assn of public administrators public guardians and public conservators,cross-tree,"CA State Assn. of Public Administrators, Public Guardians, and Public Conservators",17175,1,"CA State Assn. of Public Administrators, Public Guardians, and Public Conservators",21002,False,False
california public administrators public guardians and public conservators,cross-tree,"California Public Administrators, Public Guardians, and Public Conservators",17175,1,"California Public Administrators, Public Guardians, and Public Conservators",20427,False,False
california state assn of public administrators public guardians and public conservators,cross-tree,"California State Assn. of Public Administrators, Public Guardians, and Public Conservators",17175,1,"California State Assn. of Public Administrators, Public Guardians, and Public Conservators",100726,False,False
california association of public authorities for ihss,cross-tree-fold,California Association of Public Authorities for Ihss,17178,1,California Association of Public Authorities for Ihss,17177,True,False
california association of public guardians public conservators and public administrators,cross-tree,"California Association of Public Guardians, Public Conservators and Public Administrators",21002,1,"California Association of Public Guardians, Public Conservators and Public Administrators",17184,False,False
california association of realtors,cross-tree-fold,CALIFORNIA ASSOCIATION OF REALTORS,17316,1,California Association of Realtors,17196,True,False
california association of social rehabilitation agencies,cross-tree-fold,CALIFORNIA ASSOCIATION OF SOCIAL REHABILITATION AGENCIES,17254,1,California Association of Social Rehabilitation Agencies,17253,True,False
cashpcr,cross-tree-fold,CASHPCR,17261,1,CASHPCR,23586,True,False
california association of veteran services agencies,cross-tree-fold,CALIFORNIA ASSOCIATION OF VETERAN SERVICES AGENCIES,17295,1,California Association of Veteran Services Agencies,17297,True,False
community associations institute california legislative action committee,cross-tree,Community Associations Institute California Legislative Action Committee,31226,1,Community Associations Institute - California Legislative Action Committee,17313,False,False
california business for education excellence,cross-tree,California Business for Education Excellence,17523,2,California Business for Education Excellence,17524,False,False
national association of social workers california chapter,cross-tree,National Association of Social Workers - California Chapter,72155,110,"National Association of Social Workers, California Chapter",17729,False,False
california child care resource referral network,cross-tree,California Child Care Resource & Referral Network,26140,1,California Child Care Resource & Referral Network,17792,False,False
california childrens lobby,cross-tree,California Children's Lobby,17823,4,California Children's Lobby,26414,False,False
california conference of machinists,cross-tree,California Conference of Machinists,18232,1,California Conference of Machinists,32350,False,False
ca congress of parents and students inc,cross-tree,"CA Congress of Parents, and Students, Inc",21157,1,"CA Congress of Parents, and Students, Inc",18242,False,False
california council for environmental and economic balance cceeb,cross-tree,CALIFORNIA COUNCIL FOR ENVIRONMENTAL AND ECONOMIC BALANCE (CCEEB),18331,1,California Council for Environmental and Economic Balance (CCEEB),33783,False,False
california council of community mental health agencies,cross-tree-fold,California Council of Community Mental Health Agencies,18345,1,California Council of Community Mental Health Agencies,18347,True,False
san francisco department of public health,cross-tree-fold,San Francisco Department of Public Health,18395,1,San Francisco Department of Public Health,91537,True,False
california state employees association,cross-tree,California State Employees Association,21074,1,California State Employees Association,18691,False,False
california health and human services agency,cross-tree,California Health and Human Services Agency,19151,5,California Health and Human Services Agency,19145,False,False
california health advocates,cross-tree-fold,California Health+ Advocates,20338,1,CALIFORNIA HEALTH ADVOCATES,19148,True,False
california housing partnership corporation,cross-tree,CALIFORNIA HOUSING PARTNERSHIP CORPORATION,19310,1,California Housing Partnership Corporation,19314,False,False
california inhome supportive services consumer alliance,cross-tree-fold,CALIFORNIA IN-HOME SUPPORTIVE SERVICES CONSUMER ALLIANCE,19352,1,California In-home Supportive Services Consumer Alliance,19351,True,False
jobs to move america,cross-tree,Jobs to Move America,19501,1,JOBS TO MOVE AMERICA,58080,False,False
gay and aids lobby,cross-tree,Gay and AIDS Lobby,63265,1,Gay and AIDS Lobby,19653,False,False
california manufacturing and technology association cmta,cross-tree,California Manufacturing and Technology Association (CMTA),19737,1,California Manufacturing and Technology Association (CMTA),66435,False,False
the california medical association,cross-tree-fold,The California Medical Association,19769,1,The California Medical Association,104674,True,False
the california medical association cma,cross-tree-fold,THE CALIFORNIA MEDICAL ASSOCIATION (CMA),19769,1,The California Medical Association (CMA),104675,True,False
california newspaper publishers association,cross-tree,California Newspaper Publishers' Association,19987,1,California Newspaper Publishers Association,19991,False,False
california police chiefs association,cross-tree-fold,California Police Chief's Association,82383,32,California Police Chiefs Association,20287,True,False
california probation and correctional association,cross-tree-fold,California Probation and Correctional Association,20366,1,California Probation and Correctional Association,20365,True,False
ca public interest research groupca,cross-tree,CA Public Interest Research GroupCA,84365,1,CA Public Interest Research GroupCA,20449,False,False
cpuc,cross-tree-fold,CPUC,20469,1,CPUC,34568,True,False
california retailers association,cross-tree-fold,CALIFORNIA RETAILERS ASSOCIATION,72977,13,California Retailers Association,20611,True,False
california small business development center,cross-tree,California Small Business Development Center,20847,5,California Small Business Development Center,20855,False,False
kathleen connell state controller,cross-tree,"Kathleen Connell, State Controller",76617,1,"Kathleen Connell, State Controller",21044,False,False
california state sheriffs association,cross-tree-fold,CALIFORNIA STATE SHERIFF'S ASSOCIATION,95887,1,California State Sheriffs' Association,21170,True,False
california state teachers retirement system,cross-tree,California State Teacher's Retirement System,100989,1,California State Teachers' Retirement System,21185,False,False
sonoma state university,cross-tree-fold,Sonoma State University,21191,13,Sonoma State University,98268,True,False
san jose state university,cross-tree-fold,San Jose State University,21191,1,San Jose State University,92295,True,False
ca teachers association,cross-tree,CA Teachers Association,21319,1,CA Teachers Association,103700,False,False
california state teachers retirement system calstrs,cross-tree,California State Teacher's Retirement System (CalSTRS),100989,12,California State Teachers' Retirement System (CalSTRS),21325,False,False
as of march 15 1996 trade and commerce agency,cross-tree,"As of March 15, 1996. Trade and Commerce Agency",21400,1,"As of March 15, 1996. Trade and Commerce Agency",107390,False,False
coalition of california welfare rights organizations,cross-tree,COALITION OF CALIFORNIA WELFARE RIGHTS ORGANIZATIONS,29783,37,Coalition of California Welfare Rights Organizations,21625,False,False
the california nevada soft drink association,cross-tree,The California Nevada Soft Drink Association,104684,1,The California Nevada Soft Drink Association,21814,False,False
california public employees retirement system,cross-tree,California Public Employees' Retirement System,22101,1,California Public Employees Retirement System,84311,False,False
united brotherhood of carpenters and joiners of america,cross-tree-fold,United Brotherhood of Carpenters and Joiners of America,23355,1,United Brotherhood of Carpenters and Joiners of America,109579,True,False
cease coalition engaged in a smokefree effort santa pageg,cross-tree,"CEASE (Coalition Engaged in a Smoke-Free Effort), Santa PageG",24066,1,"CEASE (Coalition Engaged in a Smoke-Free Effort), Santa PageG",29496,False,False
center for ethics economic policy,cross-tree,Center for Ethics & Economic Policy,24365,2,Center for Ethics & Economic Policy,24366,False,False
chabotlas positas community college district,cross-tree-fold,Chabot-las Positas Community College District,25326,1,Chabot-Las Positas Community College District,25328,True,False
fresno chamber of commerce also,cross-tree,Fresno Chamber of Commerce [also],109883,1,Fresno Chamber of Commerce [also],25399,False,False
santa ynez band of chumash indians,cross-tree,SANTA YNEZ BAND OF CHUMASH INDIANS,93609,12,Santa Ynez Band of Chumash Indians,26915,False,False
cigna,cross-tree-fold,CIGNA,27025,1,Cigna,27022,True,False
the citizens commission on human rights cchr,cross-tree-fold,THE CITIZENS COMMISSION ON HUMAN RIGHTS (CCHR),27211,1,The Citizens Commission on Human Rights (CCHR),104837,True,False
city of san juan capistrano x,cross-tree,City of San Juan Capistrano X,100917,1,City of San Juan Capistrano X,27494,False,False
city of tustin,cross-tree,CITY OF TUSTIN,100917,11,City of Tustin,27528,False,False
honorable louis scanlon chief of police city of coronado,cross-tree,"Honorable Louis Scanlon, Chief of Police, City of Coronado",82397,1,"Honorable Louis Scanlon, Chief of Police, City of Coronado",27733,False,False
facility engineering city of hope,cross-tree,"Facility Engineering, City of Hope",27925,1,"Facility Engineering, City of Hope",42865,False,False
city of king city,cross-tree,City of King City,100917,2,CITY OF KING CITY,27954,False,False
city of kingsburg,cross-tree,City of Kingsburg,100917,2,CITY OF KINGSBURG,27956,False,False
city of long beach,cross-tree-fold,CITY OF LONG BEACH,100917,47,City of Long Beach,28005,True,False
city of los angeles office of the chief legislative analyst,cross-tree-fold,City of Los Angeles - Office of the Chief Legislative Analyst,100917,1,City of Los Angeles Office of the Chief Legislative Analyst,28054,True,False
libby schaaf mayor city of oakland,cross-tree,"Libby Schaaf, Mayor, City of Oakland",100917,1,"Libby Schaaf- Mayor, City of Oakland",28152,False,False
gene h kulander chief of police city of palm springs,cross-tree,"Gene H. Kulander, Chief of Police, City of Palm Springs",82397,1,"Gene H. Kulander, Chief of Police, City of Palm Springs",28190,False,False
chief of police arturo venegas jr city of sacramento,cross-tree,"Chief of Police, Arturo Venegas, Jr., City of Sacramento",82397,1,"Chief of Police, Arturo Venegas, Jr., City of Sacramento",28302,False,False
honorable stephen whitburn council president pro tem city of san diego,cross-tree,"Honorable Stephen Whitburn, Council President Pro Tem , City of San Diego",28319,1,"Honorable Stephen Whitburn, Council President Pro Tem , City of San Diego",28329,False,False
environmental public works management fleet management division city of santa monica,cross-tree,"Environmental & Public Works Management, Fleet Management Division, City of Santa Monica",100917,1,"Environmental & Public Works Management, Fleet Management Division, City of Santa Monica",28422,False,False
city of waterford,cross-tree-fold,CITY OF WATERFORD,100917,5,City of Waterford,28551,True,False
city of west covina,cross-tree-fold,CITY OF WEST COVINA,100917,11,CITY OF WEST COVINA,28557,True,False
citycounty association of governments,cross-tree-fold,City/County Association of Governments,28623,1,City/County Association of Governments,28622,True,False
city of pleasanton,cross-tree,CITY OF PLEASANTON,100917,7,City of Pleasanton,28625,False,False
chief of police paul cooper city of claremont police department,cross-tree,"Chief of Police Paul Cooper, City of Claremont Police Department",82397,1,"Chief of Police Paul Cooper, City of Claremont Police Department",28733,False,False
clean power alliance,cross-tree-fold,Clean Power Alliance,28901,1,Clean Power Alliance,28902,True,False
the coalition of california insurance professionals ccip,cross-tree-fold,THE COALITION OF CALIFORNIA INSURANCE PROFESSIONALS (CCIP),29777,1,The Coalition of California Insurance Professionals (CCIP),104868,True,False
comcast,cross-tree,Comcast,30635,1,COMCAST,30638,False,False
community clinic association of los angeles county,cross-tree-fold,Community Clinic Association of Los Angeles County,31306,1,COMMUNITY CLINIC ASSOCIATION OF LOS ANGELES COUNTY,31307,True,False
community housing development corporation,cross-tree,COMMUNITY HOUSING DEVELOPMENT CORPORATION,31562,4,Community Housing Development Corporation,31563,False,False
los angeles community redevelopment agency,cross-tree-fold,Los Angeles Community Redevelopment Agency,31739,1,Los Angeles Community Redevelopment Agency,64690,True,False
concowest inc,cross-tree-fold,ConcoWest Inc,32239,1,Conco-West Inc,32241,True,False
first congregational church auburn santa cruz,cross-tree-fold,"First Congregational Church, Auburn, Santa Cruz",32448,1,"First Congregational Church, Auburn, Santa Cruz",44456,True,False
board of supervisors counties of contra costa,cross-tree,"Board of Supervisors, counties of: Contra Costa",100917,1,"Board of Supervisors, counties of: Contra Costa",33009,False,False
contractors state license board,cross-tree,Contractors State License Board,33179,1,Contractors State License Board,100798,False,False
state controllers office,cross-tree,State Controller's Office,76617,1,State Controller's Office,33199,False,False
council of acupuncture and oriental medicine association licensed acupuncturists marian blum,cross-tree,"Council of Acupuncture and Oriental Medicine Association : Licensed Acupuncturists, Marian Blum",33802,1,"Council of Acupuncture and Oriental Medicine Association : Licensed Acupuncturists, Marian Blum",104939,False,False
county of amador,cross-tree-fold,County of Amador,100917,1,County of Amador,34104,True,False
county of san bernardino,cross-tree,COUNTY OF SAN BERNARDINO,100917,1,County of San Bernardino,34115,False,False
the county of san luis obispo,cross-tree,THE COUNTY OF SAN LUIS OBISPO,100917,1,The County of San Luis Obispo,34271,False,False
county welfare directors association of california,cross-tree-fold,County Welfare Directors Association of California,34394,1,County Welfare Directors Association of California,34393,True,False
covenant house california,cross-tree-fold,"Covenant House, California",34471,3,Covenant House California,34472,True,False
san ramon chapter pflag danville,cross-tree,San Ramon Chapter (PFLAG- Danville),79859,1,San Ramon Chapter (PFLAG- Danville),35806,False,False
the department of corporations,cross-tree-fold,THE DEPARTMENT OF CORPORATIONS,36700,1,The Department of Corporations,104985,True,False
los angeles county department of health services,cross-tree,Los Angeles County Department of Health Services,100917,10,Los Angeles County Department of Health Services,36740,False,False
the department of managed health care dmhc,cross-tree-fold,The Department of Managed Health Care (DMHC),36762,1,The Department of Managed Health Care (DMHC),104987,True,False
state department of social services sdss,cross-tree,STATE DEPARTMENT OF SOCIAL SERVICES (SDSS),100840,1,State Department of Social Services (SDSS)-,36796,False,False
navy department of the commander navy region southwest,cross-tree,"Navy, Department of the, Commander Navy Region Southwest",73352,2,"Navy, Department of the, Commander Navy Region Southwest",36811,False,False
los angeles county sheriffs association,cross-tree-fold,Los Angeles County Sheriffs Association,36880,1,Los Angeles County Sheriff's Association,64834,True,False
sequoia hospital,cross-tree-fold,Sequoia Hospital,37391,1,Sequoia Hospital,95144,True,False
los angeles county district attorney,cross-tree,Los Angeles County District Attorney,100917,12,Los Angeles County District Attorney,37693,False,False
san francisco district attorney family violence project,cross-tree,San Francisco District Attorney Family Violence Project,37693,1,San Francisco District Attorney Family Violence Project,91577,False,False
edco disposal,cross-tree,Edco Disposal,39792,1,Edco Disposal,39791,False,False
city of edco disposal,cross-tree,City of Edco Disposal,39792,1,City of Edco Disposal,39791,False,False
el centro chamber of commerce,cross-tree-fold,El Centro Chamber of Commerce,109883,4,El Centro Chamber of Commerce,40180,True,False
electrical contractors assoc of ca,cross-tree-fold,Electrical Contractors Assoc. of CA,40556,1,Electrical Contractors Assoc. of CA,40555,True,False
chief of police ken james city of emeryville,cross-tree,"Chief of Police Ken James, City of Emeryville",82397,1,"Chief of Police Ken James, City of Emeryville",40977,False,False
chief of police city of emeryville,cross-tree,"Chief of Police, City of Emeryville",82397,1,"Chief of Police, City of Emeryville",40977,False,False
hotel employees and restaurant employees union,cross-tree,Hotel Employees and Restaurant Employees Union,51864,1,Hotel Employees and Restaurant Employees Union,41056,False,False
service employees international union local 1000,cross-tree,"Service Employees' International Union, Local 1000",95230,1,"Service Employees International Union, Local 1000",41071,False,False
employees international union city of downey,cross-tree,"Employees International Union, City of Downey",95230,1,"Employees International Union, City of Downey",41071,False,False
public employees retirement system calpers,cross-tree,Public Employees' Retirement System (CalPERS),84311,1,Public Employees' Retirement System (CalPERS),41084,False,False
california public employees retirement system calpers opposed to version january 5 2012,cross-tree,"California Public Employees' Retirement System (CalPERS), Opposed to version - January 5, 2012",84311,1,"California Public Employees' Retirement System (CalPERS), Opposed to version - January 5, 2012",41084,False,False
