org_name,count,status,routed_to
California Association of Health Facilities,1340,in_crosswalk,
California State Commanders Veterans Council,1339,in_crosswalk,
Environmental Defense Fund,1334,in_crosswalk,
California State University,1332,in_crosswalk,
California Dental Association,1328,in_crosswalk,
California State Council of Laborers,1326,in_crosswalk,
California Alliance of Child and Family Services,1324,in_crosswalk,
Initiate Justice,1322,in_crosswalk,
Southern California Edison,1312,in_crosswalk,
County Welfare Directors Association of California,1308,in_crosswalk,
Chief Probation Officers of California,1307,in_crosswalk,
One individual,1301,already_routed,org_names_that_are_actually_individuals.csv
Los Angeles County Professional Peace Officers Association,1296,in_crosswalk,
California Healthcare Association,1267,in_crosswalk,
None to date,1260,already_routed,org_names_invalid.csv
Secretary of State,1258,in_crosswalk,
City of Oakland,1252,in_crosswalk,
California Judges Association,1250,in_crosswalk,
City of San Jose,1247,in_crosswalk,
California Commission on the Status of Women,1246,in_crosswalk,
California Employment Lawyers Association,1244,in_crosswalk,
American Lung Association,1242,in_crosswalk,
Los Angeles Area Chamber of Commerce,1242,in_crosswalk,
AFSCME,1239,in_crosswalk,
SEIU California,1238,in_crosswalk,
Kaiser Permanente,1236,in_crosswalk,
"American Federation of State, County, and Municipal Employees",1232,in_crosswalk,
Judicial Council of California,1227,in_crosswalk,
Urban Counties Caucus,1223,in_crosswalk,
Los Angeles County Sheriff's Department,1220,in_crosswalk,
Santa Clara County Board of Supervisors,1215,in_crosswalk,
California Cattlemen's Association,1206,in_crosswalk,
California National Organization for Women,1199,in_crosswalk,
California Association of Sanitation Agencies,1196,in_crosswalk,
Department of Insurance,1190,in_crosswalk,
California Police Chiefs' Association,1189,in_crosswalk,
Drug Policy Alliance,1185,in_crosswalk,
National Center for Youth Law,1184,in_crosswalk,
Southwest California Legislative Council,1184,in_crosswalk,
State Building and Construction Trades Council,1181,in_crosswalk,
Wine Institute,1179,in_crosswalk,
Courage California,1169,in_crosswalk,
California Women's Law Center,1160,in_crosswalk,
Western States Council of Sheet Metal Workers,1152,in_crosswalk,
Center for Biological Diversity,1145,in_crosswalk,
City of Thousand Oaks,1145,in_crosswalk,
California Senior Legislature,1143,in_crosswalk,
County of Sacramento,1139,in_crosswalk,
Automobile Club of Southern California,1132,in_crosswalk,
County Health Executives Association of California,1121,in_crosswalk,
California League of Food Processors,1116,in_crosswalk,
Office of the Attorney General,1112,in_crosswalk,
California Communities United Institute,1111,in_crosswalk,
California Peace Officers Association,1106,in_crosswalk,
California Fire Chiefs Association,1105,in_crosswalk,
The Nature Conservancy,1104,in_crosswalk,
California Commission on Aging,1100,in_crosswalk,
