Oakland African American Chamber Political Action Committee	Oakland African American Chamber of Commerce	Oakland AA Chamber
Sacramento Asian Pacific Chamber: of Commerce	Sacramento Asian Pacific Chamber of Commerce	alternate_spelling
Sacramento based ABC Schools	ABC Schools	alternate_spelling
Sacramento Based ABC Schools	ABC Schools	alternate_spelling
Sacramento Branch NAACP	Sacramento Branch NAACP	alternate_spelling
Sacramento Chapter The Climate Reality Project	CLIMATE REALITY PROJECT	chapter
Sacramento Chinese Culture Foundation (04/23/14 version)	Sacramento Chinese Culture Foundation	alternate_spelling
Sacramento City Unified School District (previous version)	Sacramento City Unified School District	alternate_spelling
Sacramento City Unified School District: OVERNOR'S VETO MESSAGE	Sacramento City Unified School District	alternate_spelling
Sacramento County Board of Supervisors (prior version of the bill)	Sacramento County Board of Supervisors	alternate_spelling
Sacramento County Board of Supervisors (seek amendment)	Sacramento County Board of Supervisors	alternate_spelling
Sacramento County Board of Supervisors (support in concept)	Sacramento County Board of Supervisors	alternate_spelling
Sacramento County Board of Supervisors 4/19/00	Sacramento County Board of Supervisors	alternate_spelling
Sacramento County Deputy Sheriffs Association (prior version)	SACRAMENTO COUNTY DEPUTY SHERIFFS' ASSOCIATION	alternate_spelling
Sacramento County District Attorney Anne Marie Schubert	Sacramento County District Attorney's Office	alternate_spelling
Sacramento County District Attorney, Jan Scully	Sacramento County District Attorney's Office	alternate_spelling
Sacramento County Fair (52nd DAA)	Sacramento County Fair	alternate_spelling
Sacramento County Sheriff's Department (SCSD)	SACRAMENTO COUNTY SHERIFF'S DEPARTMENT	alternate_spelling
Sacramento County Sheriff's SB 660 (Kuehl) PageB Department	SACRAMENTO COUNTY SHERIFF'S DEPARTMENT	alternate_spelling
Sacramento County, Office of the District Attorney	Sacramento County District Attorney's Office	alternate_spelling
Sacramento Court Appointed Special Advocate Program, Inc	Sacramento Court Appointed Special Advocate Program	alternate_spelling
Sacramento Court Appointed Special Advocates Program, Inc	Sacramento Court Appointed Special Advocate Program, Inc	alternate_spelling
Sacramento District Attorney Jan Scully	Sacramento District Attorney	alternate_spelling
Sacramento District Attorney's Office	Sacramento District Attorney	alternate_spelling
Sacramento District Attorney, Jan Scully	Sacramento District Attorney	alternate_spelling
SACRAMENTO ELK GROVE UNIFIED 37,787	Elk Grove Unified School District	alternate_spelling
SACRAMENTO FOLSOM-CORDOVA UNIFIED 13,716	Folsom-Cordova Unified School District	alternate_spelling
Sacramento Food Policy Council (as proposed to be amended)	Sacramento Food Policy Council	alternate_spelling
Sacramento Housing & Redevelopment Agency (as amended March 21, 2006)	Sacramento Housing & Redevelopment Agency	alternate_spelling
Sacramento Labor Council, AFL-CIO (prior version)	Sacramento Labor Council, AFL-CIO	alternate_spelling
Sacramento LGBT Center writes	Sacramento LGBT Center	alternate_spelling
Sacramento LGBTQ Youth Task Force (prior version)	Sacramento LGBTQ Youth Task Force	alternate_spelling
Sacramento Mayor Fargo	City of Sacramento	alternate_spelling
Sacramento Meto Chamber	Sacramento Metro Chamber	alternate_spelling
Sacramento Metropolitan Air Quality Management District (oppose if amended)	Sacramento Metropolitan Air Quality Management District	alternate_spelling
Sacramento Metropolitan Chamber of Comerce	Sacramento Metropolitan Chamber of Commerce	alternate_spelling
Sacramento NAACP	Sacramento NAACP	alternate_spelling
Sacramento Office of the District Attorney	Sacramento District Attorney	alternate_spelling
Sacramento Official San Bernardino Public Employees Association	San Bernardino Public Employees Association	alternate_spelling
Sacramento Regional Builders Exchange (prior version)	SACRAMENTO REGIONAL BUILDERS EXCHANGE	alternate_spelling
SACRAMENTO SACRAMENTO CITY UNIFIED 51,240	Sacramento City Unified School District	alternate_spelling
SACRAMENTO SAN JUAN UNIFIED 47,819	San Juan Unified School District	alternate_spelling
Sacramento State Student Health Services Pharmacy (04/21/14 version)	Sacramento State Student Health Services Pharmacy	alternate_spelling
Sacramento State University, Project Rebound	Project Rebound	alternate_spelling
Sacramento Valley Region, NAACP Legal Defense and Educational Fund, Inc	NAACP Legal Defense & Educational Fund, Inc., Sacramento Valley	alternate_spelling
Sacramento | Yolo Mutual Housing Association	Sacramento/Yolo Mutual Housing Association	alternate_spelling
Sacramento-Sierra Building & Construction Trades Council (prior version)	Sacramento-Sierra Building & Construction Trades Council	alternate_spelling
Sacramento/Sierra Building and Construction Trades Council	Sacramento-Sierra Building & Construction Trades Council	alternate_spelling
SACRS as an omnibus technical bill	State Association of County Retirement Systems (SACRS)	alternate_spelling
Safari Club International, California Chapter	Safari Club International - California Chapter	alternate_spelling
Safari Club International, Sacramento Chapter	Safari Club International - Sacramento Chapter	alternate_spelling
SAFE Campuses Coalition, which includes Generation UP, INC, Ignite Nation, and the Youth Power Project	Safe Campuses Coalition	alternate_spelling
Safe Return Project (prior version)	Safe Return Project	alternate_spelling
Safer Streets LA, City of	Safer Streets LA	alternate_spelling
Safestway Driving School - Alameda, Contra Costa, East Bay	Safestway Driving School	alternate_spelling
Safety Professional Engineers of California (S.P.E.C. - Yorba Linda, CA)	Safety Professional Engineers of California (S.P.E.C)	alternate_spelling
Safety-Kleen (committee analysis)	Safety-Kleen	alternate_spelling
SAG-AFTRA Unsilenced	Sag-aftra, Afl-cio	alternate_spelling
SAG-AFTRA, the bill's sponsor	Sag-aftra, Afl-cio	alternate_spelling
SAG/AFTRA	Sag-aftra, Afl-cio	alternate_spelling
Saga Welsh Springer Club of America	The Welsh Springer Club of America	alternate_spelling
Sagent	Sagent Marketing	alternate_spelling
Saint Andrew Orthodox Christian Church - Pastor	Saint Andrew Orthodox Christian Church	alternate_spelling
Saint James African Methodist Episcopal Church (prior version)	Saint James African Methodist Episcopal Church	alternate_spelling
Saint SB 1257 (Costa) Elizabeth's Parish (Oakland)	Saint Elizabeth's Parish (Oakland)	alternate_spelling
Saint Vincent de Paul Society, Council of Los Angeles	Society of St. Vincent de Paul	alternate_spelling
SALINAS CITY ELEMENTARY 9,009	Salinas City Elementary School District	alternate_spelling
Salinas League of United Latin Americans (LULAC) Council 2055 (prior version)	League of United Latin American Citizens (LULAC) of Salinas Council 2055	alternate_spelling
SALINAS UNION HIGH 10,908	Salinas Union High School District	alternate_spelling
Salinas Valley Memorial Healthcare System (prior version)	Salinas Valley Memorial Healthcare System	alternate_spelling
Salud Para La Gente, Inc. (Watsonville)	Salud Para la Gente	alternate_spelling
Sam Abed, Mayor	CITY OF ESCONDIDO	city government
San AB 2900 (Laird) Francisco Aids Foundation	SAN FRANCISCO AIDS FOUNDATION	nonprofit
San Benito County Fair (33rd DAA)	San Benito County Fair	district fair
San Benito County Fair, 33rd District Agricultural Association	San Benito County Fair	district fair
SAN BERNARDINO CHAFFEY UNION HIGH 17,296	Chaffey Joint Union High School District	school district
SAN BERNARDINO CHINO UNIFIED 29,342	Chino Unified School District	school district
SAN BERNARDINO COLTON JOINT UNIFIED 19,712	Colton Joint Unified School District	school district
San Bernardino County Sheriff's Department, California and Sheriffs (COPS)	San Bernardino County Sheriff's Department	alternate_spelling
San Bernardino County Sheriff- Coroner	County Sheriff- Coroner	alternate_spelling
San Bernardino County Sheriffs' Office (all from the	San Bernardino County Sheriff's Department	alternate_spelling
San Bernardino County Superintendent of Schools Herbert Fischer	San Bernardino County Superintendent of Schools	alternate_spelling
San Bernardino County Superintendent of Schools, Coordinated Health	San Bernardino County Superintendent of Schools	alternate_spelling
San Bernardino County, Office of the District Attorney	San Bernardino County District Attorney's Office	alternate_spelling
San Bernardino District Attorney, Michael A. Ramos	San Bernardino County District Attorney's Office	alternate_spelling
SAN BERNARDINO FONTANA UNIFIED 32,175	Fontana Unified School District	alternate_spelling
SAN BERNARDINO HESPERIA UNIFIED 15,327	Hesperia Unified School District	alternate_spelling
San Bernardino Office of the District Attorney	San Bernardino County District Attorney's Office	alternate_spelling
SAN BERNARDINO ONTARIO-MONTCLAIR ELEMENTARY 24,196	Ontario-Montclair School District	alternate_spelling
San Bernardino Public Employees Association (2/24 version)	San Bernardino Public Employees	alternate_spelling
San Bernardino Public Employees Association (6/8/12)	San Bernardino Public Employees	alternate_spelling
San Bernardino Public Employees Association (support seek amendments to add CSIs)	San Bernardino Public Employees	alternate_spelling
SAN BERNARDINO RIALTO UNIFIED 24,757	Rialto Unified School District	alternate_spelling
SAN BERNARDINO SAN BERNARDINO CITY UNIFIED 46,309	San Bernardino City Unified School District	alternate_spelling
San Bernardino Unified School District Superintendent	San Bernardino Unified School District	alternate_spelling
San Diego - Imperial Chapter, American College of Surgeons	San Diego - Imperial Chapter of the American College of Surgeons	alternate_spelling
San Diego - QTPOC	San Diego- QTPOC	alternate_spelling
San Diego - Tijuana Smart Border Coalition	San Diego-Tijuana Smart Border Coalition	alternate_spelling
San Diego 350 - Climate Action	SAN DIEGO 350	alternate_spelling
San Diego 350 Climate Action	SAN DIEGO 350	alternate_spelling
San Diego 350.Org	SAN DIEGO 350	alternate_spelling
San Diego 9th District PTA	9th District PTA	alternate_spelling
San Diego Area Congregations for	San Diego Area Congregations for Change	alternate_spelling
San Diego Association of Governments (in concept)	SAN DIEGO ASSOCIATION OF GOVERNMENTS	alternate_spelling
San Diego Association of Governments (unless amended)	SAN DIEGO ASSOCIATION OF GOVERNMENTS	alternate_spelling
San Diego Association of Governments 6/28/99	SAN DIEGO ASSOCIATION OF GOVERNMENTS	alternate_spelling
San Diego Association of Governments 6/30/99	SAN DIEGO ASSOCIATION OF GOVERNMENTS	alternate_spelling
San Diego Association of Governments 7/29/98	SAN DIEGO ASSOCIATION OF GOVERNMENTS	alternate_spelling
San Diego Association of Governments writing	SAN DIEGO ASSOCIATION OF GOVERNMENTS	alternate_spelling
San Diego Audubon Society (prior version)	San Diego Audubon Society	alternate_spelling
San Diego BayKeeper: OPPOSED	San Diego Bay Keeper	alternate_spelling
San Diego Border Dreamers (prior version)	San Diego Border Dreamers	alternate_spelling
SAN DIEGO CAJON VALLEY UNION ELEMENTARY 19,145	Cajon Valley Union School District	alternate_spelling
San Diego Chapter of the Sierra Club	Sierra Club San Diego Chapter	alternate_spelling
San Diego Chapter, Sierra Club	Sierra Club San Diego Chapter	alternate_spelling
San Diego Chief of Police William Lansdowne	San Diego Police Department	alternate_spelling
SAN DIEGO CHULA VISTA ELEMENTARY 19,899	CHULA VISTA ELEMENTARY SCHOOL DISTRICT	alternate_spelling
San Diego City Attorney's Office (prior version)	San Diego City Attorney's Office	alternate_spelling
San Diego City College, NextUp Program	San Diego City College - Nextup Program	alternate_spelling
San Diego City Fire Fighters Local 145	San Diego City Fire Fighters, Local 145	alternate_spelling
San Diego City Fire Fighters, IAFF, Local 145	San Diego City Fire Fighters, Local 145	alternate_spelling
San Diego City Firefighters I.A.F.F. Local 145	San Diego City Fire Fighters, Local 145	alternate_spelling
San Diego City School Police Officers Association	San Diego School Police Officers Association	alternate_spelling
San Diego City Schools Ofc of the Superintendent	San Diego City Schools	alternate_spelling
San Diego Coastkeeper (prior version)	San Diego Coastkeeper	alternate_spelling
San Diego Community College District (based on prior version of the bill)	San Diego Community College District	alternate_spelling
San Diego County Apartment Association (neutral as proposed to be amended)	San Diego County Apartment Association	alternate_spelling
San Diego County Apartment Association (neutral if amended)	San Diego County Apartment Association	alternate_spelling
San Diego County Apartment Association (Support after recent amendments)	San Diego County Apartment Association	alternate_spelling
San Diego County Bar Association (prior version)	San Diego County Bar Association	alternate_spelling
San Diego County Board of Supervisors (committee analysis)	San Diego County Board of Supervisors	alternate_spelling
San Diego County Board of Supervisors- Office of Chair Nathan Fletcher	San Diego County Board of Supervisors	alternate_spelling
San Diego County Coalition for Education (Higher Education Committee)	San Diego County Coalition for Education	alternate_spelling
San Diego County Court Employees Association (prior version)	SAN DIEGO COUNTY COURT EMPLOYEES ASSOCIATION	alternate_spelling
San Diego County Democratic Party (prior version)	San Diego County Democratic Party	alternate_spelling
San Diego County District Attorney Office	San Diego County District Attorney	alternate_spelling
San Diego County District Attorney, Summer Stephen	San Diego County District Attorney	alternate_spelling
San Diego County of the District Attorney	San Diego County District Attorney	alternate_spelling
San Diego County Office of Education, Foster Youth Services	San Diego County Office of Education	alternate_spelling
San Diego County Public Defender	San Diego Department of the Public Defender	alternate_spelling
San Diego County Regional Airport Authority (oppose unless amend)	SAN DIEGO COUNTY REGIONAL AIRPORT AUTHORITY	alternate_spelling
San Diego County Sheriff's	SAN DIEGO COUNTY SHERIFF	alternate_spelling
Consumer Federation of California, sponsor of the bill	Consumer Federation of California	Consumer Federation of California
Council on American Islamic Relations, California	Council on American-Islamic Relations	council on american-islamic relations
County Behavioral Health Directors Association (CBHDA) also	County Behavioral Health Director's Association	county behavioral health directors association
County Behavioral Health Directors Association (CBHDA), in opposition	County Behavioral Health Director's Association	county behavioral health directors association
County Behavioral Health Directors Association California	County Behavioral Health Director's Association	county behavioral health directors association
County Behavioral Health Directors Association of CA	County Behavioral Health Director's Association	county behavioral health directors association
County Behavioral Health Directors of California	County Behavioral Health Director's Association	county behavioral health directors association
Crime Victims United of	Crime Victims United of California	Crime Victims United of California
E2 - Environmental Entrepreneurs	E2 (Environmental Entrepreneurs)	E2 (Environmental Entrepreneurs)
El Dorado County Sheriff Jeff Leikauf also	El Dorado County Sheriff's Office	El Dorado County Sheriff
El Dorado County Sheriff Jeff Leikauf also opposes the bill and	El Dorado County Sheriff's Office	El Dorado County Sheriff
El Dorado County Sheriffs Office	El Dorado County Sheriff's Office	El Dorado County Sheriff
El Dorado Joint Chamber Commission	El Dorado County Joint Chamber of Commerce	El Dorado Chamber of Commerce
Elected members of the State Association of County Auditors	STATE ASSOCIATION OF COUNTY AUDITORS	State Association of County Auditors
Emergency Medical Services Administrators' Association of CA	EMERGENCY MEDICAL SERVICES ADMINISTRATORS' ASSOCIATION OF CALIFORNIA (EMSAAC)	Emergency Medical Services Administrators Association of California
Environmental Caucus of the Democratic Party	Environmental Caucus of the California Democratic Party	env-caucus-dem
Estate Planning, Trust and Probate Law Section, State Bar of California	Estate Planning, Trust and Probate Law Section of the State Bar of California	estate-planning-trust-probate
Eva Paterson, Executive Director, Lawyers Committee for: Civil Rights	Lawyers Committee for Civil Rights of the San Francisco Bay Area	lawyers-committee-civil-rights
Faculty Association of California Community Colleges "strongly	Faculty Association of California Community Colleges	faccc
Fight for $15	FIGHT FOR $15 AND A UNION	Fight for 15
Fresno Firefighters Local 202	Fresno Firefighters	fresno firefighters
Garden Grove Firefighters, Local 2005	Garden Grove Firefighters	garden grove firefighters
George Gascon, District Attorney, City and County of San Francisco	City and County of San Francisco District Attorney George Gascon	sf district attorney gascon
George Gascon, San Francisco District Attorney	City and County of San Francisco District Attorney George Gascon	sf district attorney gascon
Greater Bakersfield Chamber	Greater Bakersfield Chamber of Commerce	greater bakersfield chamber of commerce
Hearing HealthCare Providers/California (HHP, sponsor)	Hearing Healthcare Providers	hearing-healthcare-providers
Indivisible, Change Begins with ME	Change Begins with Me Indivisible Group	Indivisible
Inglewood / South Bay NAACP	NAACP	NAACP
Lawyers Committee for Civil Rights of San Francisco Bay Area	Lawyers' Committee for Civil Rights of the San Francisco Bay Area	lawyers committee for civil rights sf
Lawyers' Committee for Civil Rights of San Francisco	Lawyers' Committee for Civil Rights of the San Francisco Bay Area	lawyers committee for civil rights sf
LGBT Caucus, California Democratic Party	California Democratic Party LGBT Caucus	lgbt caucus california democratic party
Local affiliates of CPF write	California Professional Firefighters	california professional firefighters
Long Beach Firefighters Association, Local 372	Long Beach Firefighters Association	long beach firefighters association
Los Angeles Chief of Police	City of Los Angeles Police Department	los angeles police department
Make-Up Artists and Hair Stylists Guild Local 706	IATSE Local 706, Motion Picture Association, Motion Picture Costumers	iatse-local-706
National Organization for Women (committee analysis)	NATIONAL ORGANIZATION FOR WOMEN	National Organization for Women
Network, California League of Conservation	CALIFORNIA LEAGUE OF CONSERVATION VOTERS	California League of Conservation Voters
New Way of Life Re-entry Project	New Way of Life Reentry Project	New Way of Life Reentry Project
Northern California District Council of ILWU	Northern California District Council - ILWU	Northern California District Council ILWU
Northern California District Council, ILWU	Northern California District Council - ILWU	Northern California District Council ILWU
Oca - Sacramento Chapter	OCA Sacramento Chapter	OCA
OCA- Asian Pacific American Advocates	OCA - Asian Pacific American Advocates	OCA
Office of San Francisco District Attorney	City and County of San Francisco District Attorney	office-sf-da
Office of the Adjutant General	California Military Department - Office of the Adjutant General	adjutant-general
Office of the District Attorney Contra Costa County	Office of the District Attorney	office-da-contra-costa
Physicians for A National Health Program -- California Chapter	Physicians for a National Health Program	Physicians for a National Health Program
Physicians for Social Responsibility (San Francisco Bay Area Chapter)	Physicians for Social Responsibility	Physicians for Social Responsibility
Physicians for Social Responsibility - San Francisco	Physicians for Social Responsibility	Physicians for Social Responsibility
Physicians for Social Responsibility, Los Angeles Chapter	Physicians for Social Responsibility	Physicians for Social Responsibility
Physicians for Social Responsibility, SF Bay Chapter	Physicians for Social Responsibility	Physicians for Social Responsibility
Physicians for Social Responsibility- San Francisco Bay Area	Physicians for Social Responsibility	Physicians for Social Responsibility
Physicians for Social Responsibility- San Francisco Bay Area Chapter	Physicians for Social Responsibility	Physicians for Social Responsibility
Planned Parenthood Action Fund of Santa Barbara, Ventura & San Luis Obispo Counties	Planned Parenthood Action Fund of Santa Barbara, Ventura and San Luis Obispo Counties	Planned Parenthood Action Fund of Santa Barbara, Ventura and San Luis Obispo Counties
Planned Parenthood Affiliates of California (PPAC) writes	Planned Parenthood Affiliates of California	Planned Parenthood Affiliates of California
Planned Parenthood Affiliates of California writes	Planned Parenthood Affiliates of California	Planned Parenthood Affiliates of California
Planned Parenthood of Santa Barbara, Ventura & San Luis Obispo	Planned Parenthood of Santa Barbara, Ventura and San Luis Obispo Counties	Planned Parenthood of Santa Barbara, Ventura and San Luis Obispo Counties
Planned Parenthood of Santa Barbara, Ventura & San Luis Obispo Counties	Planned Parenthood of Santa Barbara, Ventura and San Luis Obispo Counties	Planned Parenthood of Santa Barbara, Ventura and San Luis Obispo Counties
Plumbing Heating Cooling Contractors of CA	Plumbing, Heating and Cooling Contractors of California	Plumbing, Heating and Cooling Contractors of California
Plymouth United Church of Christ, Oakland	Plymouth United Church of Christ	Plymouth United Church of Christ
Police Officers Research Association of CA	Police Officers Research Association of California	Police Officers Research Association of California
PORAC fully	Police Officers Research Association of California	Police Officers Research Association of California
PowerLight Corp	PowerLight Corporation	PowerLight Corporation
PPAC writes	Planned Parenthood Affiliates of California	Planned Parenthood Affiliates of California
Rancho Cucamonga Firefighters Association Local 2274	Rancho Cucamonga Firefighters Association	rancho cucamonga firefighters
Redondo Beach Chamber	Redondo Beach Chamber of Commerce and Visitors Bureau	redondo beach chamber
Regional Chamber of Com. San Gabriel Valley	Regional Chamber of Commerce-San Gabriel Valley	regional chamber san gabriel valley
Riverside City Firefighters Association Local 1067	Riverside City Firefighters Association, IAFF Local 1067	riverside city firefighters association local 1067
Riverside County District Attorney Grover Trask	Riverside County District Attorney	riverside county district attorney
Riverside County District Attorney Rod Pacheco	Riverside County District Attorney	riverside county district attorney
Riverside National Association for the Advancement of Colored People	Riverside NAACP	riverside naacp
Riverside Sheriffs	Riverside Sheriff Association	riverside sheriffs association
Sacramento Branch of the NAACP	Sacramento Branch NAACP	sacramento branch naacp
SALEF	Salvadoran-American Leadership and Educational Fund (SALEF)	salvadoran american leadership and educational fund
San Diego District Attorney Bonnie Dumanis	San Diego District Attorney	san diego district attorney
San Diego Police Chief	City of San Diego Police Department	san diego police department
San Fernando Valley Chamber	San Fernando Valley Chamber of Commerce	san fernando valley chamber of commerce
SEIU - United Long Term Care Workers	Service Employees International Union	seiu
SEIU - United Service Workers West	Service Employees International Union	seiu
SEIU also	Service Employees International Union	seiu
SEIU Local 250	Service Employees International Union	seiu
SEIU Local 347	Service Employees International Union	seiu
SEIU Local 399	Service Employees International Union	seiu
SEIU Local 620	Service Employees International Union	seiu
SEIU Local 6434 - ULTCW	Service Employees International Union	seiu
SEIU Local 790	Service Employees International Union	seiu
SEIU, Local 1877	Service Employees International Union	seiu
SEIU/UHW	Service Employees International Union	seiu
Service Employee International Union, Local 1000	Service Employees International Union	seiu
Service Employees International Union (SEIU), Local 1877	Service Employees International Union	seiu
Service Employees International Union - California (SEIU)	Service Employees International Union	seiu
Service Employees International Union - United Healthcare Workers West	Service Employees International Union	seiu
Service Employees International Union Local 521	Service Employees International Union	seiu
Service Employees International Union SEIU Local 1000	Service Employees International Union	seiu
Service Employees International Union, (SEIU)	Service Employees International Union	seiu
Service Employees International Union, (SEIU) Local 1877	Service Employees International Union	seiu
Service Employees International Union, Local 100	Service Employees International Union	seiu
Service Employees International Union, Local 521	Service Employees International Union	seiu
Service Employees International Union, Local 535	Service Employees International Union	seiu
Service Employees International Union, Local 715	Service Employees International Union	seiu
SEUI, Local 434-B	Service Employees International Union	seiu
SEUI, Local 660	SEIU Local 660	SEIU Local 660
SEUI, Local 99, Classified School Employees	SEIU Local 99	SEIU Local 99
Sheriff Leikauf	El Dorado County Sheriff Jeff Leikauf	El Dorado County Sheriff Jeff Leikauf
South Bay Los Angeles 350	SOUTH BAY 350 CLIMATE ACTION GROUP	south_bay_350
South San Francisco Professional Firefighters, Local 1507	South San Francisco Professional Firefighters	ssf_firefighters_1507
Stand! Against Domestic Violence	Stand Against Domestic Violence	stand_against_dv
Stockton Firefighters, Local 456	Stockton Professional Firefighters, Local 456	Stockton Professional Firefighters Local 456
Teach for America - California	Teach For America	Teach For America California
The American Academy of Pediatrics, California	Academy of Pediatrics (AAP)	american academy of pediatrics california
The American Nurses Association of California	American Nurses Association - California	american nurses association of california
The California Attorney Generalos Office	California Attorney General's Office	california attorney generals office
The California Business Roundtable	California Business Roundtable	california business roundtable
the California College and University Police Chiefs Association	California College and University Police Chiefs Association	california college university police chiefs association
The California Fence Contractors' Association	CALIFORNIA FENCE CONTRACTORS' ASSOCIATION	california fence contractors association
The California State Sheriff's Association	CA State Sheriffs' Ass'n	california state sheriffs association
The First 5 Association of California	First 5 Association of California	first 5 association of california
The Lawyers' Committee for Civil Rights of the San Francisco Bay Area	Lawyers' Committee for Civil Rights of the San Francisco Bay Area	lawyers committee civil rights sf
Unite HERE	UNITE HERE\!	unite_here
Unite Here\! Local 11	UNITE HERE\!	unite_here
UNITE HERE\! Local 19	UNITE HERE\!	unite_here
UNITE-HERE Local 11	UNITE HERE\!	unite_here
UNITE/HERE, Local 2	UNITE HERE\!	unite_here
United States Department of Health and Human	United States Department of Health and Human Services	hhs
(Per the Senate Health Committee Analysis) 100% Campaign	100% CAMPAIGN: HEALTH INSURANCE FOR EVERY CALIFORNIA CHILD	100_campaign
27th Assembly District Committee, Democratic Party	27th Assembly District Democratic Committee	assembly_dist_dem
4)California Conference Board of the Amalgamated Transit Union	California Conference Board of the Amalgamated Transit Union	california conference board of the amalgamated transit union
535, SEIU	SEIU Local 535	seiu local 535
AARP California (*based on June 21, 2018 version)	AARP (American Association of Retired Persons)	aarp
AARP California (based on prior version of the bill)	AARP (American Association of Retired Persons)	aarp
AARP California (Co-Sponsors)	AARP (American Association of Retired Persons)	aarp
AARP: California State Office	AARP (American Association of Retired Persons)	aarp
Aarshdeep Kahlon, Chair, San José Bicycle and Pedestrian Advisory Committee	San José Bicycle and Pedestrian Advisory Committee	sjbpac
Aauw - California	AMERICAN ASSOCIATION OF UNIVERSITY WOMEN	aauw
AB 1 X4 Service Employees Int'l. Union (SEIU) - Sacramento	Service Employees International Union	service employees international union
AB 1207 - Mazzoni California Business Alliance	California Business Alliance	california business alliance
AB 1338 - Chavez California Land Title Association	California Land Title Association	california land title association
Abalone International (committee analysis)	Abalone International	abalone
Abate of California Inc	AMERICAN BROTHERHOOD AIMED TOWARD EDUCATION	abate
Abriendo Puertas / Opening Doors	Abriendo Puertas/opening Doors	w23_04
Abriendo Puertas, Opening Doors	Abriendo Puertas/opening Doors	w23_04
ABS Applied Building Science	APPLIED BUILDING SCIENCE	w23_04
Abundant Housing LA, the bill sponsor	ABUNDANT HOUSING LA	w23_04
Abused Womenos Services, Sexual Assault and Domestic Violence Center, Shelter Services	Abused Women's Services	w23_04
ACA 1 X1 State Coalition of Probation Organizations	State Coalition of Probation Organizations for Criminal	w23_04
ACA 8 X1 California Teamsters Public Affairs Council	California Teamsters Public Affairs Council	w23_04
Academic Council of the Academic Senate of the AB 992 (Spitzer) University of California	Academic Senate of University of California	w23_04
Academic Senate CSU	ACADEMIC SENATE, CALIFORNIA STATE UNIVERSITY	w23_04
Academic Senate of the California State University California State University	ACADEMIC SENATE, CALIFORNIA STATE UNIVERSITY	w23_04
Academy of Adoption Lawyers (co-sponsor)	ACADEMY OF CALIFORNIA ADOPTION LAWYERS	w23_04
Academy of California Adoption - ART Lawyers	ACADEMY OF CALIFORNIA ADOPTION LAWYERS	w23_04
Academy of California Adoption Lawyers (ACAL) and	ACADEMY OF CALIFORNIA ADOPTION LAWYERS	w23_04
Academy of California Adoption Lawyers (ACAL), the sponsor	ACADEMY OF CALIFORNIA ADOPTION LAWYERS	w23_04
Academy of California Adoption Lawyers and the	ACADEMY OF CALIFORNIA ADOPTION LAWYERS	w23_04
Academy of California Adoption Lawyers, ACAL	ACADEMY OF CALIFORNIA ADOPTION LAWYERS	w23_04
Academy of California Adoption LawyersUnknown	ACADEMY OF CALIFORNIA ADOPTION LAWYERS	w23_04
Academy of California Adoption LawyersUnknown (sponsor)	ACADEMY OF CALIFORNIA ADOPTION LAWYERS	w23_04
Academy of Defensive Driving, San Juan Capistrano: LA Driver Education Center	Academy of Defensive Driving, San Juan	w23_04
Academy of Family Physicians removed their opposition and now have a	Academy of Family Physicians (CAFP)	w23_04
Academy of Television, Art and Science (1356 members)	Academy of Television Arts and Sciences	w23_04
ACARAL	California Abortion and Reproductive Rights Action League	caral
Accredited out of State Colleges and Universities in	ACCREDITED OUT-OF-STATE COLLEGES AND UNIVERSITIES IN CALIFORNIA	w23_07
Accredited Out of State Colleges and Universities in	ACCREDITED OUT-OF-STATE COLLEGES AND UNIVERSITIES IN CALIFORNIA	w23_07
Accredited out of State Colleges and Universities in California	ACCREDITED OUT-OF-STATE COLLEGES AND UNIVERSITIES IN CALIFORNIA	w23_07
Accredited Out-of State Colleges and Universities in	ACCREDITED OUT-OF-STATE COLLEGES AND UNIVERSITIES IN CALIFORNIA	w23_07
Accredited Out-of-Sate Colleges and Universities in California	ACCREDITED OUT-OF-STATE COLLEGES AND UNIVERSITIES IN CALIFORNIA	w23_07
Ace Hardware, Long	Ace Hardware	w23_07
Aces Driving School - Riverside and San Diego Counties	Aces Driving School	w23_07
ACHD firmly	Association of California Healthcare Districts	w23_07
ACHD is pleased	Association of California Healthcare Districts	w23_07
ACHD's	Association of California Healthcare Districts	w23_07
Achievement House (prior version)	Achievement House	w23_07
ACHLIC (previous version)	ASSOCIATION OF CALIFORNIA LIFE & HEALTH INSURANCE COMPANIES	w23_07
ACHLIC is not aware of any complaints or concerns raised	ASSOCIATION OF CALIFORNIA LIFE & HEALTH INSURANCE COMPANIES	w23_07
ACIC (prior version)	ASSOCIATION OF CALIFORNIA INSURANCE COMPANIES	w23_07
ACLU (NOTE: SEE COMMENT 5 FOR RECOMMENDATIONS FROM THE APRIL 7 HEARING OF THE SUBCOMMITTEE ON JUVENILE JUSTICE)	American Civil Liberties Union	ACLU
ACLU (NOTE: SEE COMMENT 8 FOR RECOMMENDATIONS FROM THE APRIL 7, 1997 HEARING OF THE SUBCOMMITTEE ON JUVENILE JUSTICE.)	American Civil Liberties Union	ACLU
ACLU (with concerns)	American Civil Liberties Union	ACLU
ACLU - Northern CA	American Civil Liberties Union	ACLU
ACLU - Southern CA	American Civil Liberties Union	ACLU
ACLU AB 2285 (Aguiar) Page p	American Civil Liberties Union	ACLU
ACLU AB 522 (Diaz)	American Civil Liberties Union	ACLU
ACLU California Action - CO-SPONSOR	ACLU California Action	ACLU
