originalname,editedname,relationship_type
"COUNCILMEMBER DAVID ALVAREZ, CITY OF SAN DIEGO","COUNCILMEMBER DAVID ALVAREZ, CITY OF SAN DIEGO",canonical
"COUNCILMEMBER DAWN MURDOCK, CITY OF PALOS VERDES ESTATES","COUNCILMEMBER DAWN MURDOCK, CITY OF PALOS VERDES ESTATES",canonical
"COUNCILMEMBER DOMINIC FARINHA, CITY OF PATTERSON","COUNCILMEMBER DOMINIC FARINHA, CITY OF PATTERSON",canonical
"COUNCILMEMBER JAKE MCKENZIE, CITY OF ROHNERT PARK","COUNCILMEMBER JAKE MCKENZIE, CITY OF ROHNERT PARK",canonical
"COUNCILMEMBER MIKE BONIN, CITY OF LOS ANGELES PUBLIC COUNSEL","COUNCILMEMBER MIKE BONIN, CITY OF LOS ANGELES PUBLIC COUNSEL",canonical
"COUNCILMEMBER PAM O'CONNOR, CITY OF SANTA MONICA","COUNCILMEMBER PAM O'CONNOR, CITY OF SANTA MONICA",canonical
"COUNCILMEMBER REBECCA J. GARCIA, CITY OF WATSONVILLE","COUNCILMEMBER REBECCA J. GARCIA, CITY OF WATSONVILLE",canonical
"COUNCILMEMBER SEAN ELO-RIVERA, CITY OF SAN DIEGO","COUNCILMEMBER SEAN ELO-RIVERA, CITY OF SAN DIEGO",canonical
"COUNCILMEMBER STEVE HANSEN, CITY OF SACRAMENTO","COUNCILMEMBER STEVE HANSEN, CITY OF SACRAMENTO",canonical
"COUNCILMEMBER TERRY TAPLIN, CITY OF BERKELEY","COUNCILMEMBER TERRY TAPLIN, CITY OF BERKELEY",canonical
"COUNCILMEMBER WENDY THOMAS, CITY OF PLACERVILLE","COUNCILMEMBER WENDY THOMAS, CITY OF PLACERVILLE",canonical
COUNCILMEMBER ZACH HILTON,"COUNCILMEMBER ZACH HILTON, CITY OF GILROY",alternate_spelling
"COUNCILMEMBER ZACH HILTON, CITY OF GILROY","COUNCILMEMBER ZACH HILTON, CITY OF GILROY",canonical
"COUNCILMEMBER ZACH HILTON, CITY OF GILROY COUNTY OF MONTEREY","COUNCILMEMBER ZACH HILTON, CITY OF GILROY",alternate_spelling
"COUNCILWOMAN MICHELLE MARTINEZ, CITY OF SANTA ANA","COUNCILWOMAN MICHELLE MARTINEZ, CITY OF SANTA ANA",canonical
"COUNTRY MOBILE HOME HOMEOWNERS' ASSOCIATION, SANTA ROSA",COUNTRY MOBILE HOME PARK HOMEOWNERS ASSOCIATION,alternate_spelling
COUNTRY MOBILE HOME PARK HOMEOWNERS ASSOCIATION,COUNTRY MOBILE HOME PARK HOMEOWNERS ASSOCIATION,canonical
COUNTRY VILLA HOMEOWNERS ASSOCIATION,COUNTRY VILLA HOMEOWNERS ASSOCIATION,canonical
COUNTY ALCOHOL AND DRUG PROGRAM,COUNTY ALCOHOL AND DRUG PROGRAM,canonical
COUNTY BEHAVIORAL HEALTH DIRECTOR ASSOCIATION OF CALIFORNIA,COUNTY BEHAVIORAL HEALTH DIRECTORS ASSOCIATION,alternate_spelling
COUNTY BEHAVIORAL HEALTH DIRECTORS ASSOCIATION,COUNTY BEHAVIORAL HEALTH DIRECTORS ASSOCIATION,canonical
COUNTY BEHAVIORAL HEALTH DIRECTORS ASSOCIATION OF CA,COUNTY BEHAVIORAL HEALTH DIRECTORS ASSOCIATION,alternate_spelling
COUNTY BEHAVIORAL HEALTH DIRECTORS ASSOCIATION OF CALIFORNIA,COUNTY BEHAVIORAL HEALTH DIRECTORS ASSOCIATION,alternate_spelling
COUNTY HEALTH EXECUTIVES ASSOCIATION OF CALIFORNIA,COUNTY HEALTH EXECUTIVES ASSOCIATION OF CALIFORNIA,canonical
COUNTY OF ALAMEDA,COUNTY OF ALAMEDA,canonical
COUNTY OF BUTTE,COUNTY OF BUTTE,canonical
COUNTY OF CONTRA COSTA,COUNTY OF CONTRA COSTA,canonical
COUNTY OF DEL NORTE,COUNTY OF DEL NORTE,canonical
COUNTY OF FRESNO,COUNTY OF FRESNO,canonical
COUNTY OF HUMBOLDT,COUNTY OF HUMBOLDT,canonical
COUNTY OF KERN,COUNTY OF KERN,canonical
COUNTY OF LASSEN,COUNTY OF LASSEN,canonical
COUNTY OF LOS ANGELES,COUNTY OF LOS ANGELES,canonical
COUNTY OF LOS ANGELES BOARD OF SUPERVISORS,COUNTY OF LOS ANGELES BOARD OF SUPERVISORS,canonical
"COUNTY OF LOS ANGELES, BOARD OF SUPERVISORS",COUNTY OF LOS ANGELES BOARD OF SUPERVISORS,alternate_spelling
COUNTY OF MARIN,COUNTY OF MARIN,canonical
COUNTY OF MONO,COUNTY OF MONO,canonical
COUNTY OF MONTEREY,COUNTY OF MONTEREY,canonical
COUNTY OF MONTEREY (IF AMENDED),COUNTY OF MONTEREY,alternate_spelling
COUNTY OF NAPA,COUNTY OF NAPA,canonical
COUNTY OF ORANGE,COUNTY OF ORANGE,canonical
COUNTY OF RIVERSIDE,COUNTY OF RIVERSIDE,canonical
COUNTY OF SACRAMENTO,COUNTY OF SACRAMENTO,canonical
COUNTY OF SACRAMENTO BOARD OF SUPERVISORS,COUNTY OF SACRAMENTO BOARD OF SUPERVISORS,canonical
COUNTY OF SAN BERNARDINO,COUNTY OF SAN BERNARDINO,canonical
COUNTY OF SAN BERNARDO,COUNTY OF SAN BERNARDINO,alternate_spelling
COUNTY OF SAN DIEGO,COUNTY OF SAN DIEGO,canonical
COUNTY OF SAN DIEGO THIRD DISTRICT SUPERVISOR TERRA LAWSON-REMER,COUNTY OF SAN DIEGO THIRD DISTRICT SUPERVISOR TERRA LAWSON-REMER,canonical
COUNTY OF SAN JOAQUIN,COUNTY OF SAN JOAQUIN,canonical
COUNTY OF SAN MATEO,COUNTY OF SAN MATEO,canonical
COUNTY OF SAN MATEO BOARD OF SUPERVISORS,COUNTY OF SAN MATEO BOARD OF SUPERVISORS,canonical
COUNTY OF SANTA BARBARA,COUNTY OF SANTA BARBARA,canonical
COUNTY OF SANTA CLARA,COUNTY OF SANTA CLARA,canonical
"COUNTY OF SANTA CLARA, BOARD OF SUPERVISORS",COUNTY OF SANTA CLARA BOARD OF SUPERVISORS,alternate_spelling
COUNTY OF SANTA CRUZ,COUNTY OF SANTA CRUZ,canonical
COUNTY OF SOLANO,COUNTY OF SOLANO,canonical
COUNTY OF SONOMA,COUNTY OF SONOMA,canonical
COUNTY OF SONOMA BOARD OF SUPERVISORS,COUNTY OF SONOMA BOARD OF SUPERVISORS,canonical
COUNTY OF TUOLUMNE HOUSING DIVISION,COUNTY OF TUOLUMNE HOUSING DIVISION,canonical
COUNTY OF TUOLUMNE HOUSING POLICY COMMITTEE,COUNTY OF TUOLUMNE HOUSING POLICY COMMITTEE,canonical
COUNTY OF VENTURA,COUNTY OF VENTURA,canonical
"COUNTY OF YOLO, BOARD OF SUPERVISORS",COUNTY OF YOLO BOARD OF SUPERVISORS,alternate_spelling
COUNTY WELFARE DIRECTORS ASSOCIATION,COUNTY WELFARE DIRECTORS ASSOCIATION OF CALIFORNIA,alternate_spelling
COUNTY WELFARE DIRECTORS ASSOCIATION OF CALIFORNIA,COUNTY WELFARE DIRECTORS ASSOCIATION OF CALIFORNIA,canonical
COUNTY WELFARE DIRECTORS ASSOCIATION OF CALIFORNIA (CWDA),COUNTY WELFARE DIRECTORS ASSOCIATION OF CALIFORNIA,alternate_spelling
COURAGE CALIFORNIA,COURAGE CALIFORNIA,canonical
COURAGE CAMPAIGN,COURAGE CAMPAIGN,canonical
COVENANT HOUSE,COVENANT HOUSE,canonical
COVENANT HOUSE CALIFORNIA,COVENANT HOUSE,chapter
COVENANT MANOR,COVENANT MANOR,canonical
COVER,COVER,canonical
COW HOLLOW ASSOCIATION,COW HOLLOW ASSOCIATION,canonical
"CRANE LAKESIDE PARK AND RESORT, INC.","CRANE LAKESIDE PARK AND RESORT, INC.",canonical
CRESCENTA HIGHLANDS NEIGHBORHOOD ASSOCIATION,CRESCENTA HIGHLANDS NEIGHBORHOOD ASSOCIATION,canonical
CREST BACKYARD HOMES,CREST BACKYARD HOMES,canonical
CRESTVIEW,CRESTVIEW,canonical
CRESWELL CONSULTING,CRESWELL CONSULTING,canonical
CRIME VICTIMS UNITED OF CALIFORNIA,CRIME VICTIMS UNITED OF CALIFORNIA,canonical
CRITICAL RESISTANCE LOS ANGELES,CRITICAL RESISTANCE LOS ANGELES,canonical
CRITICAL RESISTANCE OAKLAND,CRITICAL RESISTANCE OAKLAND,canonical
CROP ORGANIZATION,CROP ORGANIZATION,canonical
"CROSSROADS CHRISTIAN REFORMED CHURCH, SAN DIEGO","CROSSROADS CHRISTIAN REFORMED CHURCH, SAN DIEGO",canonical
CRP AFFORDABLE HOUSING AND COMMUNITY DEVELOPMENT,CRP AFFORDABLE HOUSING AND COMMUNITY DEVELOPMENT,canonical
CSAC,CSAC,canonical
CSG ADVISORS,CSG ADVISORS,canonical
CSU PROJECT REBOUND CONSORTIUM,CSU PROJECT REBOUND CONSORTIUM,canonical
CUCAMONGA VALLEY WATER DISTRICT,CUCAMONGA VALLEY WATER DISTRICT,canonical
CULTIVA LA SALUD,CULTIVA LA SALUD,canonical
CULTURAL ACTION NETWORK,CULTURAL ACTION NETWORK,canonical
CULVER CITY DEMOCRATIC CLUB,CULVER CITY DEMOCRATIC CLUB,canonical
CULVER CITY FOR MORE HOMES,CULVER CITY FOR MORE HOMES,canonical
CULVER CITY NEIGHBORS UNITED,CULVER CITY NEIGHBORS UNITED,canonical
"CULVER CITY PRESBYTERIAN CHURCH, REDONDO BEACH","CULVER CITY PRESBYTERIAN CHURCH, REDONDO BEACH",canonical
"CULVER-PALMS UNITED METHODIST CHURCH, LOS ANGELES","CULVER-PALMS UNITED METHODIST CHURCH, LOS ANGELES",canonical
CUPERTINO,CUPERTINO,canonical
CUPERTINO FOR ALL,CUPERTINO FOR ALL,canonical
CUSHMAN & WAKEFIELD,CUSHMAN & WAKEFIELD,canonical
CYPRESS,CYPRESS,canonical
"CYPRESS SQUARE MOBILEHOME PARK HOMEOWNERS' ASSOCIATION, MARINA","CYPRESS SQUARE MOBILEHOME PARK HOMEOWNERS' ASSOCIATION, MARINA",canonical
D4WARD,D4WARD,canonical
DAHLIN GROUP ARCHITECTURE PLANNING,DAHLIN GROUP ARCHITECTURE PLANNING,canonical
DANA POINT CHAMBER OF COMMERCE,DANA POINT CHAMBER OF COMMERCE,canonical
DANIEL BURNHAM COURT MASTER AND HOMEOWNERS ASSOCIATIONS,DANIEL BURNHAM COURT MASTER AND HOMEOWNERS ASSOCIATIONS,canonical
DANVILLE,CITY OF DANVILLE,alternate_spelling
DANVILLE CONGREGATIONAL CHURCH,DANVILLE CONGREGATIONAL CHURCH,canonical
DAUGHTERS OF DESTINY YOUTH MENTORING,DAUGHTERS OF DESTINY YOUTH MENTORING,canonical
DAVID & MARGARET YOUTH AND FAMILY SERVICES,DAVID & MARGARET YOUTH AND FAMILY SERVICES,canonical
"DAVID & MARGARET YOUTH AND FAMILY SERVICES, LA VERNE",DAVID & MARGARET YOUTH AND FAMILY SERVICES,alternate_spelling
DAVID L BAKER LADIES GOLF CLUB,DAVID L BAKER LADIES GOLF CLUB,canonical
DAVIS COLLEGE DEMOCRATS,DAVIS COLLEGE DEMOCRATS,canonical
DE ANZA COLLEGE,DE ANZA COLLEGE,canonical
DE LUZ FAMILY HOUSING,DE LUZ FAMILY HOUSING,canonical
DEANZA MOBILE HOME PARK OWNERS ASSOCIATION,DEANZA MOBILE HOME PARK OWNERS ASSOCIATION,canonical
DEEP BLUE SCUBA & SWIM CENTER,DEEP BLUE SCUBA & SWIM CENTER,canonical
DEFENDERS OF WILDLIFE,DEFENDERS OF WILDLIFE,canonical
DEL AMO ACTION COMMITTEE,DEL AMO ACTION COMMITTEE,canonical
DEL MAR,DEL MAR,canonical
DEL NORTE ASSOCIATION OF REALTORS,DEL NORTE ASSOCIATION OF REALTORS,canonical
DEL RAY ESTATES,DEL RAY ESTATES,canonical
DEL REY NEIGHBORHOOD COUNCIL,DEL REY NEIGHBORHOOD COUNCIL,canonical
DELTA 6,DELTA 6,canonical
DELTA 6 - EAST COUNTY MAYORS AND SUPERVISORS,DELTA 6,alternate_spelling
DELTA HAWAII MOBILE HOME PARK,DELTA HAWAII MOBILE HOME PARK,canonical
"DELTA MONTHLY MEETING OF THE RELIGIOUS SOCIETY OF FRIENDS, WALNUT CREEK","DELTA MONTHLY MEETING OF THE RELIGIOUS SOCIETY OF FRIENDS, WALNUT CREEK",canonical
DELTA SOLAR ELECTRIC INC.,DELTA SOLAR ELECTRIC INC.,canonical
DEMOCRATIC CLUB OF NORTH SANTA CRUZ COUNTY,DEMOCRATIC CLUB OF NORTH SANTA CRUZ COUNTY,canonical
DEMOCRATIC PARTY OF ORANGE COUNTY,DEMOCRATIC PARTY OF ORANGE COUNTY,canonical
DEMOCRATIC PARTY OF THE SAN FERNANDO VALLEY,DEMOCRATIC PARTY OF THE SAN FERNANDO VALLEY,canonical
DEMOCRATIC SOCIALISTS OF AMERICA - LOS ANGELES,DEMOCRATIC SOCIALISTS OF AMERICA - LOS ANGELES,canonical
DENVER HOMELESS OUT LOUD,DENVER HOMELESS OUT LOUD,canonical
DEPARTMENT OF FAIR EMPLOYMENT AND HOUSING,DEPARTMENT OF FAIR EMPLOYMENT AND HOUSING,canonical
DEPARTMENT OF FINANCE,DEPARTMENT OF FINANCE,canonical
DEPARTMENT OF HEALTH CARE SERVICES,DEPARTMENT OF HEALTH CARE SERVICES,canonical
DEPARTMENT OF HOUSING AND COMMUNITY DEVELOPMENT,DEPARTMENT OF HOUSING AND COMMUNITY DEVELOPMENT,canonical
DEPARTMENT OF HOUSING AND COMMUNITY DEVELOPMENT OF LOS ANGELES,DEPARTMENT OF HOUSING AND COMMUNITY DEVELOPMENT OF LOS ANGELES,canonical
DEPENDENCY LEGAL SERVICES,DEPENDENCY LEGAL SERVICES,canonical
DEPRESSION AND BIPOLAR SUPPORT ALLIANCE,DEPRESSION AND BIPOLAR SUPPORT ALLIANCE,canonical
DESERT SANDS ESTATES,DESERT SANDS ESTATES,canonical
DESERT VALLEYS BUILDERS ASSOCIATION,DESERT VALLEYS BUILDERS ASSOCIATION,canonical
DESERT VINEYARD CHURCH,DESERT VINEYARD CHURCH,canonical
DESERT WATER AGENCY,DESERT WATER AGENCY,canonical
DESIGN ELECTRIC,DESIGN ELECTRIC,canonical
DESIGNING ACCESSIBLE COMMUNITIES,DESIGNING ACCESSIBLE COMMUNITIES,canonical
DESTINATION: HOME,DESTINATION: HOME,canonical
DEVELOPMENTAL DISABILITIES AREA BOARD 10,DEVELOPMENTAL DISABILITIES AREA BOARD 10,canonical
DEVELOPMENTAL DISABILITIES AREA BOARD 4,DEVELOPMENTAL DISABILITIES AREA BOARD 4,canonical
"DEVINE AND GONG, INC.","DEVINE AND GONG, INC.",canonical
DIAMOND BAR,DIAMOND BAR,canonical
DIAMOND K,DIAMOND K,canonical
DIAMOND KHOMEOWNERS,DIAMOND K HOMEOWNERS,alternate_spelling
DIGNITY AND POWER NOW,DIGNITY AND POWER NOW,canonical
DIGNITY HEALTH,DIGNITY HEALTH,canonical
DISABILITY COMMUNITY RESOURCE CENTER DOWNTOWN WOMEN'S CENTER,DISABILITY COMMUNITY RESOURCE CENTER DOWNTOWN WOMEN'S CENTER,canonical
DISABILITY RIGHTS ADVOCATES,DISABILITY RIGHTS ADVOCATES,canonical
DISABILITY RIGHTS CALIFORNIA,Disability Rights,chapter
DISABILITY RIGHTS EDUCATION & DEFENSE FUND,DISABILITY RIGHTS EDUCATION AND DEFENSE FUND,alternate_spelling
DISABILITY RIGHTS EDUCATION AND DEFENSE FUND,DISABILITY RIGHTS EDUCATION AND DEFENSE FUND,canonical
DISABILITY RIGHTS LEGAL CENTER,DISABILITY RIGHTS LEGAL CENTER,canonical
DISABILITY VOICES UNITED,DISABILITY VOICES UNITED,canonical
DISTRICT COUNCIL 16 INTERNATIONAL UNION OF PAINTERS AND ALLIED TRADES,DISTRICT COUNCIL 16 INTERNATIONAL UNION OF PAINTERS AND ALLIED TRADES,canonical
DISTRICT COUNCIL OF IRON WORKERS OF THE STATE OF CALIFO,DISTRICT COUNCIL OF IRON WORKERS OF THE STATE OF CALIFORNIA AND VICINITY,alternate_spelling
DISTRICT COUNCIL OF IRON WORKERS OF THE STATE OF CALIFORNIA AND VICINITY,DISTRICT COUNCIL OF IRON WORKERS OF THE STATE OF CALIFORNIA AND VICINITY,canonical
"DISTRICT COUNCIL16, INTERNATIONAL UNION OF PAINTERS AND ALLIED TRADES, AFL-CIO","DISTRICT COUNCIL 16, INTERNATIONAL UNION OF PAINTERS AND ALLIED TRADES, AFL-CIO",alternate_spelling
DIVISION OF RATEPAYER ADVOCATES,DIVISION OF RATEPAYER ADVOCATES,canonical
DMB PACIFIC VENTURES,DMB PACIFIC VENTURES,canonical
DOCTORS ORDERS: PLAY GOLF,DOCTORS ORDERS: PLAY GOLF,canonical
DOING GOOD WORKS,DOING GOOD WORKS,canonical
DOLORES HEIGHTS IMPROVEMENT CLUB,DOLORES HEIGHTS IMPROVEMENT CLUB,canonical
DOLORES HUERTA FOUNDATION,DOLORES HUERTA FOUNDATION,canonical
DOLORES STREET COMMUNITY SERVICES,DOLORES STREET COMMUNITY SERVICES,canonical
DOMUS DEVELOPMENT,DOMUS DEVELOPMENT,canonical
"DONALD C. SHOUP, PROFESSOR OF URBAN PLANNING, UCLA LUSKIN SCHOOL OF PUBLIC AFFAIRS","DONALD C. SHOUP, PROFESSOR OF URBAN PLANNING, UCLA LUSKIN SCHOOL OF PUBLIC AFFAIRS",canonical
DONNER CREEK MOBILE PARK,DONNER CREEK MOBILE PARK,canonical
DOWNEY,CITY OF DOWNEY,alternate_spelling
DOWNTOWN CENTER BUSINESS IMPROVEMENT DISTRICT,DOWNTOWN CENTER BUSINESS IMPROVEMENT DISTRICT,canonical
DOWNTOWN CHICO BUSINESS ASSOCIATION,DOWNTOWN CHICO BUSINESS ASSOCIATION,canonical
DOWNTOWN MANAGEMENT CORPORATION,DOWNTOWN MANAGEMENT CORPORATION,canonical
DOWNTOWN SAN DIEGO PARTNERSHIP,DOWNTOWN SAN DIEGO PARTNERSHIP,canonical
DOWNTOWN WOMEN'S CENTER,"DOWNTOWN WOMEN'S CENTER, LOS ANGELES",alternate_spelling
DOWNTOWN WOMEN'S CENTER (LOS ANGELES),"DOWNTOWN WOMEN'S CENTER, LOS ANGELES",alternate_spelling
"DOWNTOWN WOMEN'S CENTER, LOS ANGELES","DOWNTOWN WOMEN'S CENTER, LOS ANGELES",canonical
"DR. ANTHONY MANOUSOS, QUAKER, PASADENA","DR. ANTHONY MANOUSOS, QUAKER, PASADENA",canonical
DRA INFILL COALITION,DRA INFILL COALITION,canonical
DRUG POLICY ALLIANCE,DRUG POLICY ALLIANCE,canonical
DRY CREEK RANCHERIA BAND OF POMO INDIANS,DRY CREEK RANCHERIA BAND OF POMO INDIANS,canonical
DRYWALL LATHERS LOCAL 9109,DRYWALL LATHERS LOCAL 9109,canonical
DRYWALL LOCAL UNION 9144,DRYWALL LOCAL UNION 9144,canonical
DSA-SANTA BARBARA,DSA-SANTA BARBARA,canonical
DUCKS UNLIMITED,DUCKS UNLIMITED,canonical
DURAND RIDGE UNITED,DURAND RIDGE UNITED,canonical
DWIGHT-HILLSIDE NEIGHBORHOOD ASSOCIATION,DWIGHT-HILLSIDE NEIGHBORHOOD ASSOCIATION,canonical
EA FAMILY SERVICES,EA FAMILY SERVICES,canonical
EAGLE CITY MOBILE ESTATES,EAGLE CITY MOBILE ESTATES,canonical
EAH (NONPROFIT HOUSING CORPORATION),EAH (NONPROFIT HOUSING CORPORATION),canonical
EAH HOUSING,EAH HOUSING,canonical
EAH HOUSING (SAN RAFAEL),EAH HOUSING (SAN RAFAEL),canonical
EARTHQUAKE COUNTRY ALLIANCE,EARTHQUAKE COUNTRY ALLIANCE,canonical
EAST AREA PROGRESSIVE DEMOCRATS,EAST AREA PROGRESSIVE DEMOCRATS,canonical
EAST BAY ALLIANCE FOR A SUSTAINABLE ECONOMY,EAST BAY ALLIANCE FOR A SUSTAINABLE ECONOMY,canonical
EAST BAY ASIAN LOCAL DEVELOPMENT CORP,EAST BAY ASIAN LOCAL DEVELOPMENT CORP,canonical
EAST BAY ASIAN LOCAL DEVELOPMENT CORPORATION,EAST BAY ASIAN LOCAL DEVELOPMENT CORPORATION,canonical
EAST BAY ASIAN LOCAL DEVELOPMENT CORPORATION EAST BAY HOUSING ORGANIZATIONS,EAST BAY ASIAN LOCAL DEVELOPMENT CORPORATION EAST BAY HOUSING ORGANIZATIONS,canonical
EAST BAY ASIAN YOUTH CENTER,EAST BAY ASIAN YOUTH CENTER,canonical
EAST BAY CHILDREN'S LAW OFFICES,EAST BAY CHILDREN'S LAW OFFICES,canonical
EAST BAY COMMUNITY LAW CENTER,EAST BAY COMMUNITY LAW CENTER,canonical
EAST BAY DEMOCRATIC SOCIALISTS OF AMERICA,EAST BAY DEMOCRATIC SOCIALISTS OF AMERICA,canonical
EAST BAY DEVELOPMENTAL DISABILITIES LEGISLATIVE COALITION,EAST BAY DEVELOPMENTAL DISABILITIES LEGISLATIVE COALITION,canonical
EAST BAY DEVELOPMENTAL DISABILITIES LEGISLATIVE COALITION N,EAST BAY DEVELOPMENTAL DISABILITIES LEGISLATIVE COALITION,alternate_spelling
EAST BAY FAMILY DEFENDERS,EAST BAY FAMILY DEFENDERS,canonical
EAST BAY FOR EVERY ONE,EAST BAY FOR EVERYONE,alternate_spelling
EAST BAY FOR EVERYONE,EAST BAY FOR EVERYONE,canonical
EAST BAY FORWARD,EAST BAY FORWARD,canonical
EAST BAY HOME BRIDGE CONNECT,EAST BAY HOME BRIDGE CONNECT,canonical
EAST BAY HOUSING ORGANIZATIONS,EAST BAY HOUSING ORGANIZATIONS,canonical
EAST BAY INNOVATIONS,EAST BAY INNOVATIONS,canonical
EAST BAY LEADERSHIP COUNCIL,EAST BAY LEADERSHIP COUNCIL,canonical
EAST BAY LEGISLATIVE COALITION,EAST BAY LEGISLATIVE COALITION,canonical
EAST BAY LOCAL ASIAN DEVELOPMENT CORPORATIO,EAST BAY LOCAL ASIAN DEVELOPMENT CORPORATIO,canonical
EAST BAY MUNICIPAL UTILITY DISTRICT,EAST BAY MUNICIPAL UTILITY DISTRICT,canonical
EAST BAY REGIONAL PARK DISTRICT,EAST BAY REGIONAL PARK DISTRICT,canonical
EAST BAY REGIONAL PARKS DISTRICT,EAST BAY REGIONAL PARKS DISTRICT,canonical
EAST BAY RENTAL HOUSING ASSOCIATION,EAST BAY RENTAL HOUSING ASSOCIATION,canonical
EAST BAY RENTAL HOUSING ASSOCIATIONS,EAST BAY RENTAL HOUSING ASSOCIATION,alternate_spelling
EAST BAY YIMBY,EAST BAY YIMBY,canonical
EAST BAY YOUNG DEMOCRATS,EAST BAY YOUNG DEMOCRATS,canonical
EAST BAY YOUNG DEMS,EAST BAY YOUNG DEMS,canonical
EAST COUNTY MAYORS AND SUPERVISORS,EAST COUNTY MAYORS AND SUPERVISORS,canonical
EAST LA COMMUNITY CORPORATION,EAST LA COMMUNITY CORPORATION,canonical
EAST LOS ANGELES COMMUNITY CORPORATION,EAST LOS ANGELES COMMUNITY CORPORATION,canonical
EAST MISSION IMPROVEMENT ASSOCIATION,EAST MISSION IMPROVEMENT ASSOCIATION,canonical
EAST ORANGE COUNTY WATER DISTRICT,EAST ORANGE COUNTY WATER DISTRICT,canonical
EAST PALO ALTO COMMUNITY ALLIANCE AND NEIGHBORHOOD DEVELOPMENT ORGANIZATION,EAST PALO ALTO COMMUNITY ALLIANCE AND NEIGHBORHOOD DEVELOPMENT ORGANIZATION,canonical
EAST VALLEY ASSOCIATION OF REALTORS,EAST VALLEY ASSOCIATION OF REALTORS,canonical
EAST YARD COMMUNITIES FOR ENVIRONMENTAL JUSTICE,EAST YARD COMMUNITIES FOR ENVIRONMENTAL JUSTICE,canonical
"EASTER HILL UMC, PASADENA","EASTER HILL UMC, PASADENA",canonical
EASTER SEALS,EASTER SEALS,canonical
EASTERN KERN COUNTY RESOURCE CONSERVATION DISTRICT,EASTERN KERN COUNTY RESOURCE CONSERVATION DISTRICT,canonical
EASTERN MUNICIPAL WATER DISTRICT,EASTERN MUNICIPAL WATER DISTRICT,canonical
EASTERN SIERRA LAND TRUST,EASTERN SIERRA LAND TRUST,canonical
"EAZE TECHNOLOGIES, INC.","EAZE TECHNOLOGIES, INC.",canonical
"ECONOMIC AND PLANNING SYSTEMS, INC.","ECONOMIC AND PLANNING SYSTEMS, INC.",canonical
EDEN HOUSING,EDEN HOUSING,canonical
EDEN HOUSING (HAYWARD),EDEN HOUSING,alternate_spelling
EDGEWOOD CENTER FOR CHILDREN AND FAMILIES,EDGEWOOD CENTER FOR CHILDREN AND FAMILIES,canonical
EDUCATE OUR STATE,EDUCATE OUR STATE,canonical
EDUCATIONAL COMMUNITY FOR HOMEOWNERS,EDUCATIONAL COMMUNITY FOR HOMEOWNERS,canonical
EDUCATIONAL COMMUNITY FOR HOMEOWNERS (ECHO),EDUCATIONAL COMMUNITY FOR HOMEOWNERS,alternate_spelling
"EIGHT INDIVIDUAL LETTERS (INDIAN WELLS, INDIO, INDIO HILLS, LA QUINTA, AND PALM SPRINGS","EIGHT INDIVIDUAL LETTERS (INDIAN WELLS, INDIO, INDIO HILLS, LA QUINTA, AND PALM SPRINGS",canonical
EL CAJON COLLABORATIVE,EL CAJON COLLABORATIVE,canonical
EL CENTRO,EL CENTRO,canonical
EL CERRITO COUNCILMEMBER GABRIEL QUINTO,EL CERRITO COUNCILMEMBER GABRIEL QUINTO,canonical
"EL COMITÃ‰ DE VECINOS DEL LADO OESTE, EPA","EL COMITÃ‰ DE VECINOS DEL LADO OESTE, EPA",canonical
EL CONCILIO OF SAN MATEO COUNTY,EL CONCILIO OF SAN MATEO COUNTY,canonical
EL DORADO COUNTY ASSOCIATION OF REALTORS,EL DORADO COUNTY ASSOCIATION OF REALTORS,canonical
EL DORADO COUNTY CHAMBER OF COMMERCE,EL DORADO COUNTY CHAMBER OF COMMERCE,canonical
EL DORADO HILLS CHAMBER OF COMMERCE,EL DORADO HILLS CHAMBER OF COMMERCE,canonical
EL DORADO IRRIGATION DISTRICT,EL DORADO IRRIGATION DISTRICT,canonical
EL DORADO LAFCO,EL DORADO LAFCO,canonical
EL DORADO MOBILE HOME PARK,EL DORADO MOBILE HOME PARK,canonical
EL DORADO PARK MEN'S GOLF CLUB,EL DORADO PARK MEN'S GOLF CLUB,canonical
"EL NIDO MOBILE HOME PARK HOMEOWNERS' ASSOCIATION, SAN JUAN CAPISTRANO","EL NIDO MOBILE HOME PARK HOMEOWNERS' ASSOCIATION, SAN JUAN CAPISTRANO",canonical
EL NIDO MOBILEHOME ESTATES,EL NIDO MOBILEHOME ESTATES,canonical
EL NIGUEL COUNTRY CLUB,EL NIGUEL COUNTRY CLUB,canonical
EL PRADO WOMEN'S GOLF CLUB,EL PRADO WOMEN'S GOLF CLUB,canonical
EL RANCHO VERDE,EL RANCHO VERDE,canonical
ELDERFOCUS,ELDERFOCUS,canonical
ELECTIONS OFFICIAL,ELECTIONS OFFICIAL,canonical
ELECTRICAL CONTRACTORS OF CALIFORNIA TRUST,ELECTRICAL CONTRACTORS OF CALIFORNIA TRUST,canonical
ELICA HEALTH CENTERS,ELICA HEALTH CENTERS,canonical
ELK GROVE CHAMBER OF COMMERCE,ELK GROVE CHAMBER OF COMMERCE,canonical
ELLA BAKER CENTER,ELLA BAKER CENTER,canonical
ELLA BAKER CENTER FOR HUMAN RIGHT,ELLA BAKER CENTER FOR HUMAN RIGHT,canonical
ELLA BAKER CENTER FOR HUMAN RIGHTS,ELLA BAKER CENTER FOR HUMAN RIGHTS,canonical
