org_name,count
"Planning and Conservation League, Sierra Club California",4
Consumer Attorneys of California and the California Employment Lawyer's Association,1
"Medical Professionals with: Valley Children's Hospital, Visalia Family Practice",6
California Coastkeeper Alliance: Defenders of Wildlife,4
"New Frontier Democratic Club, President and Chair of Criminal Justice Task Force, Black Women's Forum, Bobbie: Anderson",4
American Civil Liberties Union of California Coalition for Humane Immigrant Rights of Los Angeles Mexican American Legal Defense and Education Fund National Council of La Raza African Advocacy Network Asian Americans Advancing Justice Asian Law Alliance California Attorneys for Criminal Justice California Immigrant Policy Center California Partnership California Public Defenders Association California Rural Legal Assistance Foundation Californians for Safety and Justice Californians United for a Responsible Budget Central American Resource Center - Los Angeles Chinese for Affirmative Action Community United Against Violence Congregations Building Community Del Sol Group,3
California Coastal Protection Network Coastwalk,3
California Medical Association Organizations Expressing Concern,6
California School Boards Association EdVoice,3
California Association of Sanitation Agencies : Amador County,2
County/City Association of Governments,3
AFL-CIO California State Council of Laborers,3
"California Labor Federation, AFL-CIO, Sacramento",2
City of Lasd,2
City of Recology,1
"League, Sierra Club California, Worksafe",2
"Reform Association, American Federation of State, County, and Municipal",2
"Counties of Merced, San Luis Obispo and Stanislaus",2
"Counties of Sonoma, Placer and San Luis Obispo",2
Yuba and Sutter Counties,2
"Boards of Supervisors for Del Norte, Humbolt, Mendocino, Napa, Shasta, Solano, Sonoma, and Yuba Counties",3
"California Community College Trustees, California Community",3
"ACLU, CACJ and California Judges Association",3
"American Federation of State, County, and Municipal Employees, AFL-CIO California Conference of Machinists",2
"Association of California Water Agencies, California Association of Sanitation Agencies",3
Bolt ElectricRex Moore Electrical Contractors & Engineers,5
CAHP and ACLHIC,2
California Association of Health Plans and the Association of California Life and Health Insurance Companies are,3
California Attorneys for Criminal JusticeInter-Agency Council on,2
"California Communities Against Toxics, Planning and Conservation League",5
California Hospital Association Scripps Health,5
"California League of Conservation Voters, Sierra Club California",3
California Native Plant Society Defenders of Wildlife,5
California Pharmacists Association (CPhA) and Western Center on Law & Poverty (WCLP),3
"California Tax Reform Association, California Teachers Association",3
Center/Pathways Domestic Violence Program,3
Cities of Alhambra,3
"Cities of Benicia, Lakewood, Stockton",4
"Cities of: Adelanto, Agoura Hills, American Canyon, Antioch, Arvin, Atascadero, Azusa, Bell Gardens, Bellflower, Belmont, Benicia, Berkeley, Beverly Hills, Bishop, Blythe, Brea, Brisbane, Burbank, Burlingame, California City, Calistoga, Camarillo, Carlsbad, Carmel-by-the-Sea, Carson, Chowchilla, Citrus Heights, Clayton, Cloverdale, Clovis, Coalinga, Colfax, Commerce, Concord, Costa Mesa, Cotati, Covina, Cypress, Daly City, Diamond Bar, Dixon, El Cajon, El Segundo, Emeryville, Encinitas, Exeter, Fairfield, Folsom, Fontana, Fortuna, Foster City, Fountain Valley, Fowler, Fremont, Fullerton, Glendora, Grand Terrace, Greenfield, Gridley, Guadalupe, Half Moon Bay, Hanford, Healdsburg, Hermosa Beach, Hesperia, Highland, Hollister, Huntington Beach, Huntington Park, Huron, Imperial Beach, Irvine, Irwindale, Jackson, Kingsburg, La Palma, La Puente, La Verne, Lafayette, Laguna Beach, Laguna",5
"Cities of: Berkeley, Claremont, Culver City, Cupertino, Del",5
City of San Diego State Board of Equalization Burbank Chamber of Commerce Aris Helicopters,5
City of Torrance County of Butte,5
City of Windsor City of Arcata Councilmember,5
County of San Diego Design-Build Institute of America,5
County of Santa Clara County of Los Angeles,3
"County, CA. State Assoc. of Counties (CSAC) (AFSCME)",2
"County, Metropolitan State Hospital, Monterey County, Mt",5
Daniel Freeman Marina Hospital/Daniel Freeman Memorial,5
Department of General Services/Victim Compensation and Government Claim Board,5
Environmental Working Group & EWG Action Fund,3
Giffords Law Center to Prevent Gun Violence and National Network Of Hospital-Based Violence Intervention Programs (NNHVIP),3
"Gorgonio Pass, Crestline-Lake Arrowhead, and Antelope Valley-East Kern",5
Half Moon Bay Coastside Chamber Surety Company of the Pacific,1
"Hills, Chula Vista, Claremont, Culver City, El Cajon, Laguna Hills, La",5
"Hills, Lake Forest, Lakewood, Lathrop, Lawndale, Lemoore, Lindsay, Livermore, Livingston, Long Beach, Madera, Manhattan Beach, Manteca, Martinez, Marysville, Mendota, Merced, Mill Valley, Modesto , Moreno",5
Inland Abundant Housing & Housing and Homeless Collaborative of Claremont,3
"League of California Cities, Sierra Club California",3
"Legislative Alliance, and Ventura County Climate Hub",3
"Locals 1034, 9400, 9415, 9423",5
Municipal Employees California Labor Federation,5
Museum of Vintage Fashion and Mott Memorial Meadow,5
"NAACP of Sacramento, Santa Rosa and Vallejo",5
"Nature Conservancy, The Pacific Forest Trust",5
"One Lambda, Incorporated (7) Seven Design Co., LTD",5
Sachs & Book California Association of Professional Scientists California Botanical Society-Madrono California Native Plant Society California State University,5
Sheriff-Coroner of Alameda County and of Monterey County,6
"Sr. Claudia Romero, ODN, Office of The Roman Catholic",5
Western Center on Law & Poverty Department of Consumer Affairs,2
California TCM University Alumni Association and Institute of TCM Seminars,5
"Children's Partnership, the Coalition of California Welfare Rights Organizations",5
City of Pomona and Pomona Redevelopment Agency,5
Southern California Watershed Alliance & Desal Response Group,5
