component,bucket,occurrences,source_rows
Consumer League,FRAGMENT,1,5291
Consumers for,FRAGMENT,1,7028
Contra,FRAGMENT,1,7090
County Sanitation,FRAGMENT,1,5051
Dairy,FRAGMENT,1,7318
Defense Council,FRAGMENT,6,25 5634 5635 5636 5637 5638
Defense Fund,FRAGMENT,1,5640
Energy Network,FRAGMENT,1,5881
Environmental,FRAGMENT,1,7281
Environmental Justice,FRAGMENT,1,4260
Henry and Thelma Pombo,ORG,1,6564
In School On Track,ORG,1,6289
Legal Aid of San,ORG,1,3892
Los Angeles Business,ORG,1,3553
Mahu,FRAGMENT,1,6797
Marine,FRAGMENT,1,7119
Marine Association,FRAGMENT,1,6836
Mayors' Association,FRAGMENT,1,1578
Medical Society,FRAGMENT,1,6870
Mission,FRAGMENT,1,6496
Municipal,FRAGMENT,2,6943 6944
National,FRAGMENT,1,7335
National Epilepsy,FRAGMENT,1,3881
National Food,FRAGMENT,1,7196
Natural Heritage,FRAGMENT,2,755 7375
Oak Center,FRAGMENT,1,1660
Orange,FRAGMENT,1,6817
Organizing Project,FRAGMENT,2,7122 7123
Pacific,FRAGMENT,1,5233
Pasadena,FRAGMENT,1,6773
Petroleum,FRAGMENT,1,7202
Pharmaceuticals,FRAGMENT,1,7206
Pharmaceuticals Incorporated,FRAGMENT,1,7205
Pharmacy,FRAGMENT,1,7207
Pharmacy Franchisees,FRAGMENT,1,2929
Planning Coalition,FRAGMENT,1,7236
"Plastics, Inc.",FRAGMENT,1,7252
Policy-California,FRAGMENT,1,7278
"Polymers, Inc.",FRAGMENT,1,7286
"Power, Inc",FRAGMENT,1,4172
Processors,FRAGMENT,5,7313 7314 7315 7316 7317
Products,FRAGMENT,1,7320
Products Company,FRAGMENT,1,7319
Professionals,FRAGMENT,1,7331
Project,FRAGMENT,1,7335
Providers,FRAGMENT,1,7341
Reproductive Justice,FRAGMENT,1,7404
"SEIU, Locals 99, 399, 535 and 660",ORG,1,1473
SLO Coast,FRAGMENT,1,7320
San Diego County District,ORG,1,5720
San Francisco Bay Area,ORG,1,6919
San Luis,FRAGMENT,1,6665
Santa Clara,FRAGMENT,1,7071
Santa Monica,FRAGMENT,1,6656
Securities Association,FRAGMENT,1,7646
Senators Greene and Johnston,ORG,1,5516
"Steamfitters Local 159, Local 6 and Local 94",ORG,1,1836
Sunnyvale Mobile,FRAGMENT,1,4061
U.S. Senators Boxer and Feinstein,ORG,1,6509
"United Association, Local 582, Local 345",ORG,1,1845
"Waterford, Los Gatos/Monte Serano, Burbank, Rialto, Auburn, Barstow, Emeryville, Escondido, Lodi, Brentwood, Delano, Livermore, Glenora, Glendale, Lodi, Fremont, Millbrae, Antioch, Santa Barbara, Vallejo, Piedmont, San Leandro, and Blue Lake Police Departments",ORG,1,1824
Women's Programs of Monterey Peninsula College,ORG,3,697 1851 1853
Wood Preserving Inc.,ORG,1,9285
Woodland Unified School District,ORG,1,1826
Workers' Compensation Insurance Rating Bureau,ORG,1,5692
Yerba Buena Gardens Festival,ORG,2,9205 9206
You are More,ORG,2,9205 9206
Yreka Community Farmers Market,ORG,2,9205 9206
Yuba County Registrar of Voters,ORG,1,323
Yuba Docs Medical Group,ORG,1,2645
Zen Caregiving Project,ORG,2,9205 9206
