org_name,bills_supported
"Chief of Police, City of Fremont",5
City of Torrance,5
County of Butte,5
"Consumers Union, Michael Terhorst, San Francisco",5
Culver City Police Chief,5
"Department of Water and Power, City of Los Angeles",5
"Director of Public Safety, City of Marina",5
"Honorable Jerry Brown, Mayor, City of Oakland",5
"Housing Authority, County of Santa Clara",5
"I.A.T.S.E., various locals",5
Institute/Center for Public Interest Law,5
"James Coleman, Mayor, City of South San Francisco",5
"Legislative Committee, County of Monterey",5
"Los Angeles County Deputy Probation Officers, AFSCME, Local 685",5
"Mayor Ann J. Kulchin, City of Carlsbad",5
"Mayor Art Madrid, City of La Mesa",5
"Mayor Claude A. ""Bud"" Lewis, City of Carlsbad",5
"Mayor Don Higginson, City of Poway",5
"Mayor Ed Lee, City of San Francisco",5
"Mayor Heather Fargo, City of Sacramento",5
"Mayor Mark Arapostathis, City of La Mesa",5
"Mayor Mickey Cafagna, City of Poway",5
"Mayor Paula Perotte, City of Goleta",5
"Mayor Rusty Bailey, City of Riverside",5
"Mayor Zareh Sinanyan, City of Glendale",5
"Michael Touhey, Mayor, City of West Covina",5
Mojave Desert and Mountain Integrated Waste JPA,5
"Nature Conservancy, in support of",5
"Police Chief, City of Santa Ana",5
SB California State Association of Counties,5
SB Consumers Union,5
"San Francisco State University, College of Extended",5
"Sheriff Don Horsley, County of San Mateo",5
"Sheriff-Coroner, County of Orange",5
"State Building and Construction Trades Council, sponsor of the bill",5
"The Honorable Sam Liccardo, Mayor, City of San Jose",5
"Western Center on Law and Poverty, Inc. (committee)",5
"100% Campaign (a collaborative of The Children's Partnership, Children's Defense Fund California, Children NOW, PICO California)",4
"AIDS Coordinator, City of Los Angeles",4
Alta Pasadena Indivisible,4
"Andrew Pasmant, City Manager, City of West Covina",4
"Appraisal Institute, an organization of licensed real estate appraisers",4
"Assessor, County of Yolo",4
"Association of Family and Conciliation Courts, California Chapter",4
Auburn CA Indivisible,4
"Board of Supervisors, County of Riverside",4
Boards of Supervisors of the Counties of Mendocino,4
CA-14 Indivisible,4
CELSOC (Consulting Engineers and Land Surveyors of California),4
California Association of Health Underwriters (With),4
California Attorneys for Criminal Justice (THIS ANALYSIS REFLECTS AUTHOR'S AMENDMENTS TO BE OFFERED IN),4
"California Building Industry Association, in support of the bill",4
"Violence Prevention Coalition, Greater Los Angeles",4
California Clinical Laboratories Association (CCLA) writes,4
"California Hospital Association, in opposition",4
"California Independent Petroleum Association, in opposition to the bill",4
"California Public Employees' Retirement System (CalPERS), Support if",4
California Retailers Association (service contract provisions),4
California The Climate Reality Project,4
"Chief of Police James Butts, Jr., City of Santa Monica",4
"Chief of Police, City of Burbank",4
"Chief of Police, City of Downey",4
"Chief of Police, City of Newark",4
"Chief of Police, City of West Covina",4
"Chief of Police, City of Rancho Cucamonga",4
"Chief of Police, City of Chino Hills",4
"City Attorney's Office, City of Los",4
"City Council, City of West Hollywood",4
City of San Jose,4
Claremont/Inland Valley Indivisible,4
Colusa County Indivisible,4
"Communications Workers of America, District 9, sponsor of the bill",4
"Crown Castle, sponsor of this measure",4
Department of Health Services,4
California Air Resources Board,4
California State Auditor,4
"Daniel R. Monez, Chief of Police, City of Napa",4
Scripps Institution of Oceanography,4
"District Attorney, County of Los Angeles",4
"District Attorney, County of Orange",4
Orange County District Attorney,4
San Francisco County District Attorney,4
San Mateo County District Attorney,4
San Luis Obispo County District Attorney,4
Ventura County District Attorney,4
"Douglas Milender, Chief of Police, City of Fairfield",4
East Bay Indivisible,4
East Valley Indivisible,4
El Dorado Hills Indivisible,4
Elmwood Indivisible,4
"Elvin G. Miali, Chief of Police, City of Fountain Valley",4
"Engineers & Scientists of California, Local 20 IFPTE",4
Environmental Quality Committee,4
"Estate Planning, Trust & Probate Law Section of the State Bar of California",4
Euclid Indivisible,4
Fremont Indivisible,4
"GRP Resources Agency, Department of Conservation",4
Grace - End Child Poverty CA,4
Hope School District District,4
City of Sacramento,4
International Franchise Association in opposition,4
"Jerry Sanders, Mayor, City of San Diego",4
LAFCO of Contra Costa,4
LAFCO of El Dorado,4
LAFCO of Los Angeles,4
LAFCO of Mendocino,4
LAFCO of San Benito,4
LAFCO of Santa Cruz,4
LAFCO of Yolo,4
"Laborer's International Union North America, Local No. 507",4
Lakewood Indivisible,4
"Lee Dean, Chief of Police, City of Vacaville",4
"Libby Schaaf, Mayor, City of Oakland",4
"Lisa Gillmor, Mayor, City of Santa Clara",4
"Los Angeles County Probation Department Union, AFSME, Local 685",4
"Los Angeles Probation Officers Union, Local 685",4
Los Angeles The Climate Reality Project,4
"MPA Collaborative Implementation Project (includes San Diego, Orange County, Los Angeles, Catalina, San Luis Obispo, Monterey, San Mateo, Golden Gate, Sonoma, Mendocino, Humboldt, and Del Norte Collaboratives)",4
Manteca Indivisible,4
"Mary Teresa Sessom, Mayor, City of Lemon Grove",4
"Mayor Brianne Zorn, City of Martinez",4
"Mayor Gary Capata, City of Laguna Niguel",4
"Mayor Jerry Brown, City of Oakland",4
"Mayor Jesse Arreguín, City of Berkeley",4
"Mayor Jim Patterson, City of Fresno",4
"Mayor Joe Serna, City of Sacramento",4
"Mayor Karen Goh, City of Bakersfield",4
"Mayor Kevin J. Lincoln II, City of Stockton",4
"Mayor Kevin Johnson, City of Sacramento",4
"Mayor Kevin L. Faulconer, City of San Diego",4
"Mayor Miguel Pulido, City of Santa Ana",4
"Mayor Pro Tempore Ameal Moore, City of Riverside",4
"Mayor Ronald V. Dellums, City of Oakland",4
"Mayor Sam Liccardo, City of San Jose",4
"Mayor William Alexander, City of Rancho Cucamonga",4
"Mayor, City of Hawaiian Gardens",4
"Mayor, City of Pomona",4
"Media City Burbank Indivisible",4
"Mendocino Indivisible",4
Mid-Peninsula Indivisible,4
Monterey Indivisible,4
"Mike Skogh, Chief of Police, City of Los Alamitos",4
National Independent Physician Association Coalition,4
"National Organization for Women, San Francisco Chapter",4
"Neil J. Purcell, Chief of Police, City of Laguna Beach",4
"Norm Venturino, Chief of Police, City of Clayton",4
OC 46 Indivisible,4
OC 48 Indivisible,4
Of the Desert Indivisible,4
"Office of the Assessor, County of Santa Clara",4
"Office of the Auditor-Controller, County of Marin",4
"Office of the Sheriff, County of Kings",4
"Patrick A. Smith, Chief of Police, City of Beaumont",4
"Patrick E. McKinley, Chief of Police, City of Fullerton",4
Personal Insurance Federation of California (Committee),4
"Police Department, City of Campbell",4
"Probation Department, County of Lake",4
"Rex Parris, Mayor, City of Lancaster",4
SB Association of California Water Agencies,4
SB California Peace Officers Association,4
SB California School Employees Association,4
San Fernando Valley The Climate Reality Project,4
Sign Display & Allied Craft Union Local No. 510,4
Southern California Filipino Dental Society (Committee),4
"Sperry Capital Inc., Sausalito (financial advisor to New Trac deal)",4
"Steve Staveley, Chief of Police, City of La Habra",4
"Superior Court of California, County of Santa Clara",4
"Superior Court of California, County of Tulare",4
TAALK,4
The Campaign for College Opportunity (SCA 19 and SB 844),4
"The Honorable Jerry Sanders, Mayor, City of San Diego",4
The Public Counsel,4
"Thomas H. Simms, Chief of Police, City of Roseville",4
"University of California Cooperative Extension, County of San Diego",4
Ventura County Superior & Municipal courts,4
"Vice Mayor Henry Chang, City of Oakland",4
"Warren E. Rupf, Sheriff-Coroner, County of Contra Costa",4
The Utility Reform Network,3
Natural Resources Defense Council,3
California Environmental Voters,3
Union of Concerned Scientists,3
"AIDS Coordinator's Office, Department of Disability, City of Los",3
"Air Pollution Control District, County of San Luis Obispo",3
"American Civil Liberties Union, oppose unless",3
American Plastics Council (+284 American & California plastic companies),3
American River Natural History Assn,3
American River Trail Bikers,3
"Angeles Chapter, Sierra Club",3
"Arc, California, representing persons with mental",3
California Labor Federation,3
"Service Employees International Union, California State Council",3
"United Food and Commercial Workers, Western",3
Assembly Elections Committee,3
Assembly Natural Resources Committee,3
"Assessor, County of Santa Clara",3
"Auditor Controller, County of Santa Cruz",3
"Richard Sill, Chief of Police, City of Chino",4
San Bernardino County,4
City of Rancho Cucamonga,4
"San Joaquin Valley Chapter, National Association for Uniformed Services, Merced",4
"Service Employees International Union of California, co-sponsor of",4
"Sheriff-Coroner, County of Santa Cruz",4
"Sheriffs' Department, County of Los Angeles",4
"Bert Johansson, Chief of Police, City of Saint Helena",3
Communities for a Better Environment,3
College of the Desert,3
"Bill Jones, Secretary of",3
"Bill Smull, Acting Chief of Police, City of Lincoln",3
"Board of Supervisors, County of Imperial",3
"Brian Meek, City Manager, City of Yreka",3
"Building Trades Council of Kern, Inyo, & Mono Counties of California, AFL-CIO",3
CA Mosquito and Vector Control Assoc,3
CA-25 Simi Valley Porter Ranch Indivisible,3
CA-43 Indivisible,3
CA-45 Indivisible,3
CDI Commissioner Ricardo Lara,3
"Calabasas, City of",3
Coastal Land Trust,3
"California Democratic Party, various caucus chairs",3
California District Attorneys Association (in principle),3
California Federation of Republican Women (committee),3
"California Federation of Teachers, AFL-CIO, Judy Michaels, Legislative Dir., Sacramento",3
California Legislative Conference of the Plumbing/Heating and Piping Industry,3
California Legislature,3
"California Probation, Parole and Correctional Association (support in)",3
California Public Defenders Association (committee),3
California Society of Internal Medicine (committee),3
"California State University, Chico, Department of Construction Management",3
"Charles S. Brobeck, Chief of Police, City of Irvine",3
"Chief Charlie Beck, City of Los Angeles",3
"Chief Christopher W. Boyd, City of Citrus Heights",3
"Chief Dan Bellini, City of Woodland",3
"Chief David Bejarano, City of Chula Vista",3
"Chief Jerry Dyer, City of Fresno",3
"Chief Joel H. Bryden, City of Walnut Creek",3
"Chief Ken James, City of Emeryville",3
"Chief Landy Black, City of Davis",3
"Chief Louis Fetherolf, City of Salinas Police Department",3
"Chief Sylvia M. Moir, City of El Cerrito",3
"Chief of Police Robert Gustafson, City of Orange",3
"Chief of Police, City of Alhambra",3
"Chief of Police, City of Arcadia",3
"Chief of Police, City of Baldwin Park",3
"Chief of Police, City of Covina",3
"Chief of Police, City of Culver City",3
"Chief of Police, City of Gardena",3
"Chief of Police, City of Glendale",3
"Chief of Police, City of Inglewood",3
"Chief of Police, City of Irwindale",3
"Chief of Police, City of La Verne",3
"Chief of Police, City of Long Beach",3
"Chief of Police, City of Manhattan Beach",3
"Chief of Police, City of Maywood",3
"Chief of Police, City of Monrovia",3
"Chief of Police, City of Montebello",3
"Chief of Police, City of Redondo Beach",3
"Chief of Police, City of San Fernando",3
"Chief of Police, City of San Marino",3
"Chief of Police, City of Santa Monica",3
"Chief of Police, City of Sierra Madre",3
"Chief of Police, City of Signal Hill",3
"Chief of Police, City of South Pasadena",3
"Chief of Police, City of Torrance",3
"Chief of Police, City of Vernon",3
"Chief of Police, City of Whittier",3
"Chief of Police, County of Santa Barbara",3
"Chief of Policy, City of Hawthorne",3
"City Council, City of Azusa",3
City Police Department of Monrovia,3
Co-Sponsor California Association of Psychiatric Technicians (CAPT),3
Co-Sponsor California Correctional Peace Officers Association (CCPOA),3
Co-Sponsor California Department of Human Resources (CalHR),3
Co-Sponsor California Statewide Law Enforcement Association (CSLEA),3
Co-Sponsor International Union of Operating Engineers (IUOE),3
Co-sponsor Consumer Attorneys of California,3
"Coalition to Abolish Slavery and Trafficking, sponsor of the bill",3
"Commercial Fishermen of Santa Barbara, Inc. (supports, but)",3
"Commission of Older Americans, City of Santa Monica",3
Co-Sponsor Union of American Physicians and Dentists (UAPD),3
City of Waterford,3
City of Yolo,3
Comité de Defensa y Grupo de Defensa para los padres en peligro de deportación,3
