org_name,bills_supported
"California Teachers Association Appendix A Specified Offenses Covered by |§ 44010 | | |Subsectio| | |n | |Assault to commit rape |(a) | |Sexual battery | | | | |Rape | | |Unlawful sexual intercourse with minor | | |(statutory rape) | | |Rape of spouse by force/fear/threat | | |Aiding and abetting rape | | |Entice minor female for prostitution/etc. | | |Providing or transporting child under 16 for | | |lewd or lascivious act | | |Abduct minor for prostitution | | |(on or after 9/15/61) Contributing to the |(e) | |delinquency of a minor involving | | |lewd/lascivious conduct | | |Incest |(a) | |Sodomy |(a), (g) | |Lewd or lascivious acts with child under 14 |(a) | |years | | |Lewd or lascivious acts |(a) | |Oral copulation |(a), (g) | |Penetration by foreign object |(a) | |Registration as a sex offender and any |(j) | |conviction resulting in requirement to | | |register as a sex offender | | |Indecent exposure (after 9/7/55 but before |(d) | |9/15/61) | | |(before 9/15/61) Procuring another's lewd |(b) | |exposure or excitation lewd thoughts | | |Sent or brought into state for sale or |(a) | |distribution, matter depicting sexual conduct | | |by minor | | |Sending or bringing into state for sale or | | |distribution, matter depicting sexual conduct | | |by minor",1
Geoff Long / APPR. / (916) 319-2081,1
JG:nl:d 9/11/13 Senate Floor Analyses,1
JG:nl:d 9/19/13 Senate Floor Analyses,1
JG:nl:k 9/11/13 Senate Floor Analyses,1
Judicial Council of CA 4/15/95:algov,1
NC:ctl/cm 6/10/98 Senate Floor Analyses,1
NC:ctl/cm 8/23/98 Senate Floor Analyses,1
NC:ctl/cm 8/27/98 Senate Floor Analyses,1
NC:meln 4/5/06 Senate Floor Analyses,1
Opposition to SB 1438 on 6/15/04 was as follows:,1
PQ/AL:k 5/27/14 Senate Floor Analyses,1
PUC Decision D.03-04-030,1
"Producers Dairy. [1] Clayton, S. California School Health Centers Association. 17 April 2013. Silva, C. Latino Coalition for Health California. 9 April 2013. [2] Smith, T.A., Lin, B., & Lee, J. United States Department of Agriculture, Economic Research Service 100 (2010). Taxing caloric sweetened beverages: Potential effects on beverage consumption, calorie intake, ERR- 100 [3] Block, G. (2004). ""Foods Contributing to Energy Intake in the US: Data from NHANES III and NHANES 1999-2000."" Journal of Food Composition and Analysis, 17: 439-447 [4] Fletcher, J.M., Fisvold, D.E., & Tefft, N. The effects of soft drink taxes on child and adolescent consumption and weight outcomes [Internet]. [cited 17 April 2013]. Available from: http://www.bates.edu/economics/files/2010/05/fletcher_frisvold_tefft_2011_JP E.pdf [5] Wang, Y. C., Coxon, P., Shen, Y., Goldman, L., & Bibbins-Domingo, K. (n.d.). A penny-per-ounce tax on sugar-sweetened beverages would cut health and cost burdens of diabetes . (2012). Health Affairs, 31(1), 199-207. [6] American Beverage Association. Economic Impact Analysis. 15 April 2013. [7] French, S.A., Wall, M., & Mitchell, N.R. Household income differences in food sources and food items purchased. (2010) International Journal of Behavioral Nutrition and Physical Activity (2010) [Internet]. Available from: http://www.ijbnpa.org/content/7/1/77 [8] DiCamillo, M. & Field, M. Two in three voters support taxing sugary- sweetened beverages if proceeds are tied to improving school nutrition and physical activity programs. The Field Poll (2013) 2436. Available at: http://field.com/fieldpollonline/subscribers/Rls2436.pdf [9] Drenkard, S. Soda Tax Proposals Bubbling Up in California. TaxFoundation, (332) 25 October 2012",1
RM:nl:d 5/25/14 Senate Floor Analyses,1
RM:nl:d 8/26/14 Senate Floor Analyses,1
RM:nl:ej 9/11/13 Senate Floor Analyses,1
Reflects version of bill prior to 5/30/01 amendments,1
Revised 07/02/18 at 4:06 p.m,1
SENT 12/20/96 at 11:40a,1
"See Electronic Data Systems 4/19/02 Proxy Statement, page",1
"See Tyco International, Ltd. 2/21/02 Proxy statement, page",1
Support to SB 1438 on 6/15/04 was as follows:,1
The following groups opposed the prior version of the bill. It is unknown if the 8/6/97 amendments remove their,1
Unitarian Universalist Project Freedom of Religion. -- 4/5/99 Page,1
Verfied 8/30/22,1
Verifed 5/18/21,1
Verifed 8/11/22,1
Verify 6/21/00,1
"however, the CTA currently administers the 911 program. Effective 1/1/14 OES will officially be responsible for 911-services pursuant to Governor Brown's reorganization plan. [2] Mobile telephony services are not subject to the sales tax as they are not tangible personal property. If I purchased the $100 of service in a bundle that included a cell phone (tangible personal property), I would also be subject to the sales tax",1
none 6-30-25 none,1
none 7-30-17 none,1
