org_name,bills_supported
California State NAACP,18
California Nevada Conference of Operating Engineers,18
Cal-TASH,18
Attorney General Kamala D. Harris,18
18 individuals,18
which,17
opposition,17
University,17
Seven individuals,17
Section,17
Sea and Sage Audubon Society,17
Pleasanton Chamber of Commerce,17
One Private Individual,17
Mono County,17
Manhattan Beach Chamber of Commerce,17
Institute,17
Initiate Justice (UNREG),17
Indivisibles of Sherman Oaks,17
Housing Action Coalition (UNREG),17
Five Individuals,17
E2,17
DPA,17
California Bankers Association (CBA),17
Calasian Chamber of Commerce,17
"Bill Lockyer, California State Treasurer",17
2 private citizens,17
2 Private Individuals,17
11 individuals,17
(Unable to reverify Support,17
Santa Ana Chamber of Commerce,16
San Pedro Chamber of Commerce,16
SB **** END,16
OCHIN,16
Numerous letters from individuals,16
Many Individuals,16
Letters from several individuals,16
Lakeside Chamber of Commerce,16
Irwindale Chamber of Commerce,16
Huntington Beach Chamber of Commerce,16
Cupertino Chamber of Commerce,16
Consumers Attorneys of California,16
California Asian Pacific Chamber of Commerce (CAPCC),16
Associated Builders and Contractors - San Diego Chapter,16
"American Federation of State, County and Municipal Employees (prior version)",16
"(As of June 20, 2008)",16
Tustin Chamber of Commerce,15
Torrance Chamber of Commerce,15
Slo County Yimby,15
Redlands Chamber of Commerce,15
Orange Chamber of Commerce,15
National City Chamber of Commerce,15
Multiple Individuals,15
Koreatown Youth + Community Center,15
Jewish Family Service of Los Angeles (UNREG),15
Individual letters (3),15
Governor Arnold Schwarzenegger,15
Four Individuals,15
Eight individuals,15
Chula Vista Chamber of Commerce,15
California Veterinary Medical Association (CVMA),15
California School Employees Association (prior version),15
California Association of County Veterans Service Officer,15
American Federation,15
"Thousand Oaks, City of",14
Staff,14
Southern California Association of NonProfit Housing,14
SLOCo YIMBY,14
Porterville Chamber of Commerce,14
PageD,14
PRC,14
Multiple individuals,14
Monterey Peninsula Chamber of Commerce,14
Menlo Park,14
Legal Aid Society Employment Law Center,14
La Verne Chamber of Commerce,14
Individual (1),14
Glendora Chamber of Commerce,14
Gilroy Chamber of Commerce,14
County of San,14
Community Asset Development Re-defining Education,14
California Asian Pacific Islander Chamber of Commerce,14
CFT,14
Butte,14
Bureau,14
"As of April 14, 1995",14
"American Academy of Pediatrics, CA",14
WiLDCOAST,13
While we,13
Vista Chamber of Commerce,13
Union of Concerned Scientist,13
Sacramento Metro Chamber,13
Redlands Yimby,13
Redlands YIMBY,13
Rancho Cucamonga Chamber of Commerce,13
Rancho Cordova Area Chamber of Commerce,13
Pomona Chamber of Commerce,13
Palmdale,13
PageC,13
Office of Los Angeles Mayor Karen Bass,13
La Mirada Chamber of Commerce,13
Highland Area Chamber of Commerce,13
Encino Chamber of Commerce,13
Concern,13
California Retailers Association (CRA),13
California Federation,13
CPF,13
CDA,13
"Buena Park, City of",13
"American Federation of State, County and Municipal Employees, AFL-CIO (prior version)",13
A coalition of supporters,13
3 Private Individuals,13
16 individuals,13
13 Individuals,13
11 Individuals,13
Ventura Chamber of Commerce,12
"The National Association of Social Workers, California Chapter",12
TWW/Indivisible - Los Gatos,12
San Marcos Chamber of Commerce,12
San Francisco Mayor London Breed,12
Rural County Representative of California,12
REGISTERED,12
Peter Cooey,12
League of California Cities Latino Caucus,12
Lassen County,12
Lake Elsinore Valley Chamber of Commerce,12
"John Chiang, California State Controller",12
Intergroup Clearinghouse,12
Indivisible Claremont / Inland Valley,12
Indivisible California: StateStrong,12
Individual letters (4),12
Health,12
Friends Committee on Legislation of CA,12
"Darrell Steinberg, Mayor of Sacramento",12
College,12
California/Nevada Conference of Operating Engineers,12
California Attorney General Rob Bonta,12
California Attorney General Bill Lockyer,12
CA African American Chamber of Commerce,12
CA,12
Beverly Hills Chamber of Commerce,12
American Lung Association of CA,12
ALS Association Golden West Chapter,12
3 private citizens,12
12 Individuals,12
we strongly,11
Yimby SLO,11
YIMBY Los Angeles,11
