org_name,bills_supported
Mothers Against Drunk Driving (MADD),16
"Long Beach Firefighters, Local 372",16
District Council of Iron Workers of The State of California and Vicinity,16
Cerritos Regional Chamber of Commerce,16
California Rural Legal Assistance Foundation (CRLA),16
California Employment Lawyers Association (CELA),16
CFT- a Union of Educators & Classified Professionals,16
Non-toxic Neighborhoods,15
Mid-Peninsula Housing Coalition,15
Long Beach Fire Fighters,15
California Attorneys for Criminal Justice (CACJ),15
"Attorney General, State of California",15
American Association of Retired Persons California,15
"People's Self-Help Housing Corporation, San Luis Obispo",14
Orange County Sheriff,14
National Association of Social Workers - California,14
E2 (Environmental Entrepreneurs),14
Community Associations Institute - California Legislative Action Committee,14
California Taxpayers Association (Cal-Tax),14
California National Organization for Women (CA NOW),14
"American Federation of State, County and Municipal Employees, Local 3299",14
American Academy of Pediatrics California,14
University of San Francisco School of Law | Racial Justice Clinic,13
Sonoma County Sheriff's Department,13
"Skid Row Housing Trust, Los Angeles",13
Sheriff of San Bernardino County,13
San Bernardino Valley Audubon Society,13
"Public Risk Innovation, Solutions, and Management (PRISM)",13
Older Womens League of California,13
National Organization for Women (NOW),13
National Association of Social Workers- California Chapter,13
"Long Beach Fire Fighters, Local 372",13
"American Federation of State, County and Municipal Employees, Local 685",13
American Association of University Women-California,13
Wilmington Chamber of Commerce,12
United Teachers of Los Angeles (UTLA),12
Service Employees International Union (SEIU) California,12
Physicians for Social Responsibility San Francisco Bay Area Chapter,12
Physicians for Social Responsibility - Sacramento Chapter,12
Murrieta/Wildomar Chamber of Commerce,12
Friends Committee On Legislation Of California,12
"Citizens for the ""Right to Know",12
Central Coast Alliance United for a Sustainable Economy (CAUSE),12
California State Teachers Retirement System,12
California Fence Contractor's Association,12
American Council of Engineering Companies California,12
Alliance for Community Transit - Los Angeles,12
University Council-American Federation of Teachers,11
Service Employees International Union - California State Council,11
San Bernadino County Sheriff,11
STAND! Against Domestic Violence,11
Organization of Farmworker Women Leaders in California,11
League Of Women Voters Of California,11
Election Integrity Project California,11
California ProLife Council,11
California Competes: Higher Education for A Strong Economy,11
California Association of County Veterans Service,11
"Brady Campaign to Prevent Gun Violence, California Chapters",11
Asociacion De Emprendedor@s,11
"Asian Americans Advancing Justice, California",11
American Red Cross California Chapter,11
American Nurses Association - California,11
American Civil Liberties Union Of California,11
